Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1985, 5178.426, 15373.41, 0, 6.908169, 0.819501, 13.45557, 0, 66.99497, 1.841885, 9.979905, 17.16929, 25.0734, 3.05896, 64.31582, 1628.556, 1602.653, 2264.19, 40.31823, 0.1569698, 0.295025, 3256.587, 0.6288758, 2.968743, 3.548352, 1.00591, -1.468512, 0.1889374, 0.199976, 0.1964983, 
1986, 5178.138, 15392.31, 0, 6.911273, 0.8193629, 13.43803, 0, 66.96707, 1.842348, 10.02191, 17.14195, 25.0517, 3.058991, 64.35509, 1628.405, 1602.894, 2264.21, 40.42272, 0.196068, 0.2950618, 3258.346, 0.6292505, 2.972557, 3.659164, 1.012648, -1.331445, 0.1889536, 0.2000071, 0.1965244, 
1987, 5176.965, 15393.75, 0, 6.910114, 0.8184173, 13.43119, 0, 66.97107, 1.840221, 10.02899, 17.12713, 25.04275, 3.05946, 64.32605, 1627.791, 1603.211, 2264.275, 40.49854, 0.1668667, 0.2950683, 3257.275, 0.6291861, 2.973508, 3.62328, 1.017879, -1.48176, 0.1889905, 0.2000418, 0.1965597, 
1988, 5176.493, 15393.39, 0, 6.912314, 0.8185048, 13.42849, 0, 66.97162, 1.840682, 10.02839, 17.12244, 25.04179, 3.059719, 64.33302, 1627.486, 1603.42, 2264.459, 40.54294, 0.1742396, 0.295055, 3257.135, 0.6292164, 2.97371, 3.592826, 1.022754, -1.247082, 0.1890337, 0.2000744, 0.1965956, 
1989, 5176.34, 15389.22, 0, 6.913206, 0.8178577, 13.43017, 0, 66.97839, 1.841283, 10.0191, 17.12442, 25.0459, 3.059916, 64.32487, 1627.336, 1603.557, 2264.663, 40.56602, 0.1663987, 0.2950284, 3256.548, 0.6291217, 2.972992, 3.450039, 1.027801, -1.12703, 0.1890776, 0.2001025, 0.1966289, 
1990, 5178.633, 15408.76, 0, 6.914516, 0.8167912, 13.41861, 0, 66.94244, 1.86886, 10.03878, 17.12402, 25.0402, 3.059203, 64.62342, 1628.181, 1603.624, 2265.081, 40.47749, 0.4670534, 0.2950226, 3258.941, 0.6293052, 2.97545, 3.042678, 1.027647, 0.07057398, 0.1891295, 0.200146, 0.1966751, 
1991, 5179.315, 15405.05, 0, 6.923601, 0.8169582, 13.42342, 0, 66.93821, 1.865603, 10.03221, 17.13058, 25.04601, 3.059114, 64.58075, 1628.496, 1603.604, 2265.156, 40.44473, 0.4244345, 0.2949893, 3260.321, 0.6294889, 2.974341, 3.108705, 1.029167, -0.07026841, 0.1891568, 0.2001532, 0.1966888, 
1992, 5180.73, 15431.58, 0, 6.924532, 0.8163447, 13.40437, 0, 66.89832, 1.873304, 10.08312, 17.10768, 25.02245, 3.058644, 64.70702, 1629.093, 1603.755, 2265.221, 40.48205, 0.5500231, 0.2950152, 3263.046, 0.6298428, 2.978651, 3.052253, 1.033738, 0.1851528, 0.1892259, 0.2002224, 0.1967577, 
1993, 5182.37, 15458.46, 0, 6.925155, 0.8169744, 13.38563, 0, 66.85427, 1.888925, 10.12904, 17.08923, 25.00072, 3.058025, 64.94381, 1629.735, 1603.959, 2265.421, 40.46346, 0.7870519, 0.2950424, 3266.027, 0.6302189, 2.982895, 2.970209, 1.034346, 0.5499834, 0.189287, 0.2002849, 0.1968196, 
1994, 5182.963, 15456.94, 0, 6.932842, 0.8177745, 13.388, 0, 66.84425, 1.89373, 10.12341, 17.09583, 25.00474, 3.057879, 65.00598, 1629.948, 1603.998, 2265.563, 40.40692, 0.8492442, 0.2950161, 3267.382, 0.6304082, 2.982259, 2.960864, 1.032389, 0.6289386, 0.189319, 0.2003, 0.1968402, 
1995, 5183.361, 15447.49, 0, 6.940287, 0.8184459, 13.39624, 0, 66.8467, 1.896137, 10.10219, 17.11193, 25.01881, 3.057873, 65.02056, 1630.066, 1603.911, 2265.662, 40.33396, 0.8639166, 0.2949646, 3267.913, 0.6304622, 2.980208, 2.999485, 1.029826, 0.5983912, 0.1893633, 0.200317, 0.1968661, 
1996, 5185.731, 15456.22, 0, 6.936552, 0.8218212, 13.39511, 0, 66.83202, 1.91454, 10.09996, 17.12916, 25.0246, 3.057087, 65.29717, 1631.001, 1603.65, 2265.807, 40.13538, 1.141937, 0.2949543, 3269.528, 0.6304854, 2.980529, 2.932746, 1.019684, 0.8748706, 0.189365, 0.2003158, 0.196866, 
1997, 5185.723, 15424.84, 0, 6.945684, 0.8224183, 13.4222, 0, 66.86398, 1.909561, 10.03617, 17.1692, 25.05833, 3.057216, 65.17462, 1631.049, 1603.226, 2265.65, 39.98169, 1.018668, 0.2948837, 3268.569, 0.6303016, 2.974483, 2.96609, 1.009751, 0.7678258, 0.1893257, 0.2002508, 0.1968097, 
1998, 5186.952, 15415.8, 0, 6.946603, 0.824667, 13.43308, 0, 66.87328, 1.916919, 10.00544, 17.19635, 25.07635, 3.05688, 65.27224, 1631.54, 1602.844, 2265.622, 39.81449, 1.116114, 0.2948548, 3268.821, 0.6302006, 2.972035, 2.9458, 0.9987018, 0.8653027, 0.1893138, 0.2002292, 0.1967914, 
