Year,Throughput,Capacity,"Asc import","Asc flow","Asc export","Asc resp","Ovh import","Ovh flow","Ovh export","Ovh resp",PCI,FCI,"Path length",Export,Resp,"Prim prod",Prod,Biomass,Catch,"Prop flow det",Ascendency,AMI,Entropy,TLc,"Shannon diversity index","FiB index","Det. TE (weighted)","PP TE (weighted)","Total TE (weigthed)"
1985:1, 5177.874, 15362.88, 0, 6.911265, 0.8200908, 13.46439, 0, 66.99976, 1.843244, 9.961246, 17.18021, 25.08314, 3.058988, 64.31712, 1628.358, 1602.819, 2264.328, 40.23458, 0.159031, 0.2950084, 3256.278, 0.6288833, 2.967026, 3.570287, 1.001143, -1.500263, 0.1888984, 0.1999318, 0.1964558, 
1985:2, 5178.193, 15365.63, 0, 6.910309, 0.8199679, 13.46253, 0, 66.99915, 1.842897, 9.965154, 17.17871, 25.08137, 3.058947, 64.31738, 1628.485, 1602.62, 2264.173, 40.25483, 0.1584881, 0.2950106, 3256.408, 0.6288696, 2.967373, 3.564917, 1.002185, -1.493793, 0.1889108, 0.199945, 0.1964688, 
1985:3, 5178.46, 15368.17, 0, 6.909583, 0.8198403, 13.46076, 0, 66.99831, 1.842562, 9.968945, 17.17689, 25.07946, 3.058913, 64.3168, 1628.592, 1602.604, 2264.191, 40.27273, 0.1580018, 0.2950141, 3256.544, 0.6288633, 2.96771, 3.560066, 1.003148, -1.487547, 0.188921, 0.1999563, 0.1964797, 
1985:4, 5178.585, 15370.2, 0, 6.908982, 0.8197252, 13.45911, 0, 66.99747, 1.842291, 9.972425, 17.17489, 25.07764, 3.058903, 64.31628, 1628.639, 1602.597, 2264.193, 40.28879, 0.1575676, 0.2950175, 3256.61, 0.628861, 2.968031, 3.555667, 1.004046, -1.481511, 0.1889285, 0.1999649, 0.1964879, 
1985:5, 5178.619, 15371.88, 0, 6.90848, 0.8196213, 13.45756, 0, 66.99663, 1.842069, 9.97565, 17.1728, 25.07589, 3.058911, 64.31591, 1628.646, 1602.595, 2264.185, 40.30342, 0.1571823, 0.2950208, 3256.633, 0.6288613, 2.968335, 3.551674, 1.00489, -1.475675, 0.1889344, 0.1999717, 0.1964945, 
1985:6, 5178.604, 15373.34, 0, 6.908046, 0.8195253, 13.45607, 0, 66.99579, 1.841877, 9.978714, 17.17066, 25.0742, 3.058927, 64.31567, 1628.632, 1602.601, 2264.177, 40.31693, 0.1568442, 0.2950238, 3256.634, 0.6288633, 2.968627, 3.548048, 1.005692, -1.470036, 0.1889392, 0.1999775, 0.1964999, 
1985:7, 5178.567, 15374.7, 0, 6.907669, 0.8194337, 13.45463, 0, 66.99486, 1.841701, 9.981688, 17.16849, 25.07251, 3.058946, 64.31547, 1628.61, 1602.613, 2264.17, 40.32956, 0.1565523, 0.2950268, 3256.629, 0.6288669, 2.968911, 3.544761, 1.006463, -1.464596, 0.1889434, 0.1999827, 0.1965048, 
1985:8, 5178.523, 15376.03, 0, 6.907332, 0.8193443, 13.45323, 0, 66.99391, 1.841533, 9.984664, 17.1663, 25.07083, 3.058965, 64.3153, 1628.585, 1602.631, 2264.168, 40.34151, 0.1563062, 0.2950296, 3256.629, 0.6288721, 2.969192, 3.541789, 1.007213, -1.45936, 0.1889474, 0.1999875, 0.1965093, 
1985:9, 5178.479, 15377.38, 0, 6.90702, 0.8192547, 13.45182, 0, 66.99283, 1.841366, 9.9877, 17.16408, 25.06912, 3.058983, 64.31516, 1628.561, 1602.652, 2264.169, 40.35292, 0.1561056, 0.2950325, 3256.635, 0.6288787, 2.969478, 3.539111, 1.007949, -1.454333, 0.1889511, 0.1999921, 0.1965136, 
1985:10, 5178.439, 15378.77, 0, 6.906726, 0.8191638, 13.45039, 0, 66.99166, 1.841198, 9.990859, 17.16181, 25.06737, 3.058999, 64.31503, 1628.539, 1602.676, 2264.172, 40.36392, 0.1559499, 0.2950355, 3256.651, 0.6288866, 2.969769, 3.536706, 1.008676, -1.449522, 0.1889548, 0.1999966, 0.1965178, 
1985:11, 5178.402, 15380.23, 0, 6.906442, 0.8190706, 13.44893, 0, 66.99037, 1.841027, 9.99417, 17.15951, 25.06557, 3.059013, 64.31492, 1628.519, 1602.701, 2264.176, 40.37458, 0.1558383, 0.2950386, 3256.677, 0.6288961, 2.970072, 3.534556, 1.009399, -1.444933, 0.1889583, 0.2000011, 0.196522, 
1985:12, 5178.368, 15381.75, 0, 6.906164, 0.8189748, 13.44743, 0, 66.98895, 1.84085, 9.997645, 17.15717, 25.06371, 3.059026, 64.31483, 1628.501, 1602.727, 2264.179, 40.38495, 0.1557694, 0.2950418, 3256.712, 0.628907, 2.970386, 3.532643, 1.01012, -1.440573, 0.1889618, 0.2000055, 0.196526, 
1986:1, 5178.731, 15388.92, 0, 6.913335, 0.8201436, 13.44434, 0, 66.96511, 1.844022, 10.01305, 17.15271, 25.05935, 3.058724, 64.37505, 1628.726, 1602.753, 2264.248, 40.38944, 0.216255, 0.2950497, 3259.037, 0.6293119, 2.971561, 3.688256, 1.010449, -1.220915, 0.1889287, 0.1999815, 0.1964992, 
