EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FeedingTime

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.003719,1,1,1.001535,1,1,1,1,1,1,1,1.021019,1,1.000344,1,1.000039,1,1,1,1,1,1
1986,1.011175,1,1,1.008017,1,1,1,1,1,1,1,1.022612,1,0.9928327,1,1.000809,1,1,1,1,1,1
1987,1.027979,1,1,1.006413,1,1,1,1,1,1,1,0.998513,1,0.9790087,1,1.000784,1,1,1,1,1,1
1988,1.047642,1,1,1.001563,1,1,1,1,1,1,1,0.947229,1,0.9873193,1,1.000994,1,1,1,1,1,1
1989,1.068295,1,1,0.9952119,1,1,1,1,1,1,1,0.8790886,1,0.9277663,1,1.001927,1,1,1,1,1,1
1990,1.104212,1,1,0.9907429,1,1,1,1,1,1,1,0.9595025,1,0.9176881,1,1.003773,1,1,1,1,1,1
1991,1.151291,1,1,0.9944811,1,1,1,1,1,1,1,1.086399,1,0.9623108,1,1.00764,1,1,1,1,1,1
1992,1.18658,1,1,1.005551,1,1,1,1,1,1,1,1.263891,1,0.9588196,1,1.013207,1,1,1,1,1,1
1993,1.213426,1,1,1.008519,1,1,1,1,1,1,1,1.423359,1,0.9606968,1,1.018389,1,1,1,1,1,1
1994,1.236842,1,1,1.00378,1,1,1,1,1,1,1,1.564324,1,0.9739808,1,1.022263,1,1,1,1,1,1
1995,1.250423,1,1,0.9975033,1,1,1,1,1,1,1,1.633505,1,0.9636352,1,1.024998,1,1,1,1,1,1
1996,1.25924,1,1,0.9927801,1,1,1,1,1,1,1,1.627155,1,0.9360058,1,1.025859,1,1,1,1,1,1
1997,1.267187,1,1,0.9846285,1,1,1,1,1,1,1,1.588561,1,0.8960268,1,1.025381,1,1,1,1,1,1
1998,1.270276,1,1,0.9770378,1,1,1,1,1,1,1,1.542174,1,0.8620784,1,1.024724,1,1,1,1,1,1
1999,1.27647,1,1,0.9655854,1,1,1,1,1,1,1,1.556617,1,0.8296513,1,1.023058,1,1,1,1,1,1
2000,1.280762,1,1,0.9491534,1,1,1,1,1,1,1,1.6661,1,0.8007999,1,1.020371,1,1,1,1,1,1
2001,1.289842,1,1,0.9297792,1,1,1,1,1,1,1,1.802701,1,0.7798608,1,1.017275,1,1,1,1,1,1
2002,1.295387,1,1,0.9079506,1,1,1,1,1,1,1,1.914922,1,0.7842209,1,1.012791,1,1,1,1,1,1
2003,1.293691,1,1,0.883471,1,1,1,1,1,1,1,1.997458,1,0.7829263,1,1.008594,1,1,1,1,1,1
2004,1.290165,1,1,0.8743793,1,1,1,1,1,1,1,2,1,0.8031518,1,1.005472,1,1,1,1,1,1
2005,1.283507,1,1,0.868984,1,1,1,1,1,1,1,2,1,0.8376518,1,1.003567,1,1,1,1,1,1
2006,1.274665,1,1,0.8684275,1,1,1,1,1,1,1,2,1,0.8603374,1,1.002328,1,1,1,1,1,1
2007,1.265325,1,1,0.8693502,1,1,1,1,1,1,1,2,1,0.8731985,1,1.001543,1,1,1,1,1,1
2008,1.256208,1,1,0.869289,1,1,1,1,1,1,1,2,1,0.8834336,1,1.001095,1,1,1,1,1,1
2009,1.250084,1,1,0.8707471,1,1,1,1,1,1,1,2,1,0.9103349,1,1.000713,1,1,1,1,1,1
2010,1.246665,1,1,0.8733423,1,1,1,1,1,1,1,2,1,0.9326765,1,1.000211,1,1,1,1,1,1
2011,1.253263,1,1,0.8764579,1,1,1,1,1,1,1,2,1,0.9694951,1,1.00095,1,1,1,1,1,1
2012,1.276867,1,1,0.8827888,1,1,1,1,1,1,1,2,1,0.9957645,1,1.002398,1,1,1,1,1,1
2013,1.293586,1,1,0.8898739,1,1,1,1,1,1,1,2,1,0.9961478,1,1.004072,1,1,1,1,1,1
2014,1.3006,1,1,0.8998545,1,1,1,1,1,1,1,2,1,0.9924881,1,1.006574,1,1,1,1,1,1
2015,1.298568,1,1,0.9161387,1,1,1,1,1,1,1,2,1,0.9888981,1,1.010043,1,1,1,1,1,1
2016,1.293975,1,1,0.9367302,1,1,1,1,1,1,1,2,1,0.9791686,1,1.014359,1,1,1,1,1,1
2017,1.279628,1,1,0.9590397,1,1,1,1,1,1,1,2,1,0.9730865,1,1.018865,1,1,1,1,1,1
