EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,KemptonsQ

year,value
1985,1.478011
1986,1.532242
1987,1.565359
1988,1.670734
1989,1.635494
1990,1.631221
1991,1.598499
1992,1.589022
1993,1.617212
1994,1.611589
1995,1.589224
1996,1.532459
1997,1.478282
1998,1.45455
1999,1.418933
2000,1.42085
2001,1.399948
2002,1.414587
2003,1.439466
2004,1.436668
2005,1.416212
2006,1.263648
2007,1.228282
2008,1.244547
2009,1.269084
2010,1.279778
2011,1.289901
2012,1.281501
2013,1.355614
2014,1.443459
2015,1.510355
2016,1.502864
2017,1.48504
