EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,KemptonsQ

timestep,value
1,1.567966
2,1.54318
3,1.521013
4,1.501308
5,1.484007
6,1.469134
7,1.45677
8,1.44702
9,1.439988
10,1.435747
11,1.434322
12,1.435677
13,1.44637
14,1.465307
15,1.488135
16,1.506077
17,1.520096
18,1.533437
19,1.545974
20,1.557584
21,1.568148
22,1.577557
23,1.585711
24,1.592513
25,1.582044
26,1.574328
27,1.568925
28,1.56549
29,1.562882
30,1.557817
31,1.555994
32,1.55561
33,1.557083
34,1.5608
35,1.567098
36,1.57624
37,1.597324
38,1.617108
39,1.629879
40,1.643373
41,1.656932
42,1.670675
43,1.685842
44,1.698933
45,1.708959
46,1.714846
47,1.715445
48,1.709497
49,1.696087
50,1.683118
51,1.670609
52,1.658549
53,1.646972
54,1.635952
55,1.625607
56,1.616059
57,1.60746
58,1.599973
59,1.594321
60,1.591218
61,1.599967
62,1.607962
63,1.615293
64,1.622026
65,1.628173
66,1.633683
67,1.638456
68,1.642378
69,1.645314
70,1.647103
71,1.647608
72,1.64669
73,1.635655
74,1.625792
75,1.616976
76,1.60911
77,1.602128
78,1.595996
79,1.59071
80,1.58629
81,1.582764
82,1.580165
83,1.578525
84,1.577872
85,1.580747
86,1.583314
87,1.58558
88,1.587556
89,1.589242
90,1.590626
91,1.591678
92,1.592357
93,1.592616
94,1.592412
95,1.5917
96,1.590438
97,1.597036
98,1.602975
99,1.608263
100,1.612897
101,1.616864
102,1.620143
103,1.622707
104,1.624532
105,1.625601
106,1.625899
107,1.625429
108,1.624202
109,1.623174
110,1.622213
111,1.621318
112,1.620487
113,1.619711
114,1.618981
115,1.615144
116,1.609909
117,1.604707
118,1.599548
119,1.594448
120,1.58943
121,1.592573
122,1.597635
123,1.60234
124,1.601273
125,1.597482
126,1.593735
127,1.590029
128,1.586359
129,1.582718
130,1.579102
131,1.575508
132,1.571936
133,1.564368
134,1.557491
135,1.551244
136,1.545573
137,1.540438
138,1.53551
139,1.529081
140,1.523149
141,1.517698
142,1.512714
143,1.508177
144,1.504065
145,1.499428
146,1.495019
147,1.490824
148,1.48683
149,1.483017
150,1.479361
151,1.475836
152,1.472414
153,1.469071
154,1.465782
155,1.462524
156,1.459274
157,1.459298
158,1.459191
159,1.458926
160,1.458495
161,1.457886
162,1.457077
163,1.456045
164,1.454768
165,1.450102
166,1.449297
167,1.447824
168,1.445692
169,1.440221
170,1.435077
171,1.430243
172,1.425727
173,1.421562
174,1.417793
175,1.414477
176,1.411672
177,1.409429
178,1.40779
179,1.406783
180,1.406417
181,1.410727
182,1.41439
183,1.417487
184,1.420059
185,1.422119
186,1.423657
187,1.424648
188,1.425065
189,1.424878
190,1.424064
191,1.422607
192,1.420495
193,1.41467
194,1.409798
195,1.405763
196,1.402463
197,1.399811
198,1.397733
199,1.396174
200,1.39509
201,1.394443
202,1.394207
203,1.394356
204,1.394873
205,1.399642
206,1.403709
207,1.40719
208,1.410186
209,1.412783
210,1.415052
211,1.417054
212,1.418841
213,1.420462
214,1.421962
215,1.423385
216,1.424769
217,1.427892
218,1.430926
219,1.433862
220,1.436682
221,1.43935
222,1.441895
223,1.443306
224,1.443743
225,1.444025
226,1.444134
227,1.444045
228,1.443725
229,1.441101
230,1.439077
231,1.437532
232,1.436366
233,1.435544
234,1.435041
235,1.434838
236,1.434919
237,1.435268
238,1.435869
239,1.436705
240,1.437759
241,1.435534
242,1.433409
243,1.431407
244,1.429559
245,1.427908
246,1.426496
247,1.425369
248,1.424562
249,1.418342
250,1.399271
251,1.38054
252,1.362149
253,1.344594
254,1.327598
255,1.310957
256,1.29466
257,1.2787
258,1.263069
259,1.247758
260,1.232759
261,1.218066
262,1.2139
263,1.215261
264,1.216457
265,1.218288
266,1.220186
267,1.222118
268,1.22406
269,1.225986
270,1.227872
271,1.229686
272,1.231402
273,1.232988
274,1.234417
275,1.235665
276,1.236714
277,1.237676
278,1.238679
279,1.239708
280,1.240769
281,1.241875
282,1.243051
283,1.244327
284,1.245735
285,1.247308
286,1.249075
287,1.251137
288,1.255221
289,1.260206
290,1.265037
291,1.269835
292,1.272414
293,1.272115
294,1.271706
295,1.271204
296,1.270627
297,1.26999
298,1.269308
299,1.268591
300,1.267975
301,1.2701
302,1.27208
303,1.273921
304,1.275641
305,1.277274
306,1.278858
307,1.280438
308,1.282064
309,1.283783
310,1.285636
311,1.28766
312,1.289881
313,1.290432
314,1.290717
315,1.290802
316,1.290732
317,1.290544
318,1.290274
319,1.289953
320,1.289616
321,1.289293
322,1.289011
323,1.288791
324,1.288644
325,1.287473
326,1.286276
327,1.285055
328,1.2838
329,1.282495
330,1.281116
331,1.27964
332,1.278044
333,1.276305
334,1.274405
335,1.276721
336,1.28668
337,1.295872
338,1.306402
339,1.317687
340,1.328809
341,1.339764
342,1.35057
343,1.361268
344,1.371908
345,1.38255
346,1.393261
347,1.40411
348,1.415171
349,1.426632
350,1.438548
351,1.440652
352,1.441133
353,1.441782
354,1.442637
355,1.443742
356,1.445136
357,1.446855
358,1.44892
359,1.451343
360,1.454123
361,1.466182
362,1.477419
363,1.487863
364,1.497476
365,1.506179
366,1.513866
367,1.520423
368,1.525747
369,1.529753
370,1.532381
371,1.533594
372,1.533379
373,1.523815
374,1.515795
375,1.509135
376,1.503738
377,1.499572
378,1.49665
379,1.495006
380,1.49468
381,1.495695
382,1.498056
383,1.500939
384,1.501286
385,1.496874
386,1.493203
387,1.490202
388,1.487786
389,1.485861
390,1.484325
391,1.48307
392,1.481989
393,1.480982
394,1.47995
395,1.478801
396,1.477444
