EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,"PredationMortality of striped bass 2-5"

timestep\group,"striped bass 6+",
1,0.0009120659
2,0.0009174441
3,0.0009227743
4,0.0009280362
5,0.0009332292
6,0.0009383546
7,0.0009434134
8,0.0009484073
9,0.000953339
10,0.000958211
11,0.0009630264
12,0.0009677888
13,0.0009720309
14,0.0009772928
15,0.0009825386
16,0.0009877614
17,0.0009929558
18,0.000998118
19,0.001003246
20,0.001008338
21,0.001013395
22,0.001018418
23,0.00102341
24,0.001028375
25,0.001034579
26,0.001043716
27,0.001052658
28,0.001061411
29,0.00106999
30,0.00107841
31,0.00108668
32,0.001094808
33,0.001102801
34,0.001110662
35,0.001118395
36,0.001126003
37,0.001134439
38,0.001139307
39,0.001144113
40,0.001148868
41,0.001153581
42,0.001158264
43,0.001162927
44,0.001167583
45,0.001172244
46,0.001176922
47,0.00118163
48,0.00118638
49,0.001191491
50,0.001201115
51,0.001210686
52,0.001220204
53,0.00122967
54,0.00123908
55,0.001248435
56,0.001257734
57,0.001266973
58,0.001276151
59,0.001285266
60,0.001294318
61,0.001303988
62,0.001314115
63,0.001324041
64,0.001333777
65,0.001343334
66,0.001352723
67,0.001361949
68,0.001371019
69,0.001379937
70,0.001388705
71,0.001397324
72,0.001405795
73,0.001413464
74,0.001420978
75,0.001428457
76,0.001435906
77,0.001443317
78,0.001450685
79,0.001458003
80,0.001465268
81,0.001472472
82,0.001479611
83,0.00148668
84,0.001493674
85,0.001500596
86,0.001507239
87,0.001513801
88,0.001520279
89,0.001526667
90,0.00153296
91,0.001539156
92,0.00154525
93,0.00155124
94,0.001557124
95,0.001562899
96,0.001568563
97,0.001574032
98,0.00157904
99,0.001583983
100,0.001588859
101,0.001593665
102,0.0015984
103,0.001603062
104,0.001607648
105,0.001612157
106,0.001616586
107,0.001620933
108,0.001625195
109,0.001629099
110,0.001632557
111,0.001635954
112,0.001639287
113,0.001642552
114,0.00164575
115,0.001648879
116,0.001651938
117,0.001654929
118,0.00165785
119,0.001660701
120,0.001663484
121,0.001666816
122,0.001669589
123,0.001672254
124,0.001674811
125,0.001677269
126,0.001679637
127,0.001681923
128,0.001684132
129,0.001686271
130,0.001688345
131,0.001690362
132,0.001692324
133,0.00169437
134,0.001696589
135,0.001698742
136,0.001700823
137,0.001702839
138,0.001704796
139,0.0017067
140,0.001708556
141,0.00171037
142,0.001712145
143,0.001713884
144,0.00171559
145,0.001717349
146,0.001718798
147,0.001720261
148,0.001721717
149,0.001723167
150,0.00172461
151,0.001726041
152,0.001727458
153,0.001728858
154,0.001730239
155,0.0017316
156,0.00173294
157,0.001734125
158,0.00173485
159,0.001735582
160,0.001736329
161,0.001737078
162,0.001737835
163,0.0017386
164,0.00173937
165,0.001740143
166,0.001740918
167,0.001741693
168,0.001742468
169,0.001743416
170,0.001743938
171,0.001744447
172,0.001744936
173,0.001745413
174,0.001745883
175,0.001746349
176,0.001746814
177,0.001747282
178,0.001747754
179,0.001748231
180,0.001748712
181,0.001749414
182,0.001750143
183,0.001750876
184,0.001751589
185,0.001752283
186,0.001752958
187,0.001753615
188,0.00175425
189,0.001754854
190,0.00175544
191,0.001756008
192,0.001756559
193,0.001757611
194,0.00175849
195,0.001759296
196,0.001760022
197,0.001760669
198,0.001761254
199,0.001761783
200,0.001762261
201,0.001762694
202,0.001763085
203,0.001763429
204,0.001763732
205,0.001763997
206,0.001764391
207,0.001764743
208,0.001765059
209,0.00176535
210,0.0017656
211,0.001765832
212,0.001766049
213,0.001766255
214,0.001766452
215,0.00176664
216,0.001766807
217,0.001767066
218,0.001767115
219,0.001767159
220,0.001767201
221,0.001767226
222,0.001767223
223,0.001767206
224,0.001767176
225,0.00176713
226,0.001767052
227,0.001766948
228,0.001766829
229,0.001766565
230,0.001766217
231,0.001765827
232,0.001765418
233,0.001764992
234,0.001764546
235,0.001764064
236,0.001763571
237,0.001763073
238,0.001762565
239,0.001762027
240,0.00176148
241,0.001760892
242,0.001760248
243,0.001759558
244,0.001758852
245,0.001758137
246,0.001757408
247,0.001756647
248,0.001755861
249,0.001755057
250,0.001754233
251,0.001753375
252,0.001752491
253,0.001751724
254,0.001750668
255,0.001749583
256,0.00174846
257,0.001747306
258,0.001746124
259,0.001744893
260,0.001743616
261,0.001742299
262,0.001740939
263,0.001739529
264,0.001738068
265,0.001736579
266,0.00173475
267,0.001732828
268,0.001730824
269,0.001728745
270,0.001726608
271,0.001724405
272,0.001722139
273,0.001719814
274,0.001717439
275,0.001715011
276,0.001712537
277,0.001710166
278,0.001707853
279,0.001705497
280,0.001703119
281,0.001700722
282,0.001698309
283,0.00169589
284,0.001693453
285,0.001690996
286,0.001688523
287,0.001686045
288,0.001683549
289,0.001681554
290,0.001678651
291,0.001675571
292,0.001672351
293,0.001668994
294,0.001665507
295,0.001661907
296,0.001658196
297,0.001654379
298,0.001650466
299,0.001646472
300,0.001642403
301,0.001637544
302,0.001634213
303,0.001631009
304,0.00162793
305,0.001624967
306,0.001622112
307,0.001619363
308,0.001616708
309,0.00161414
310,0.001611651
311,0.001609234
312,0.001606877
313,0.001604561
314,0.001602021
315,0.001599504
316,0.001597044
317,0.001594626
318,0.001592237
319,0.001589865
320,0.001587501
321,0.001585137
322,0.001582769
323,0.001580388
324,0.001577993
325,0.001575629
326,0.00157349
327,0.001571373
328,0.001569185
329,0.001566955
330,0.001564692
331,0.001562425
332,0.001560161
333,0.001557925
334,0.001555727
335,0.001553577
336,0.001551493
337,0.001549302
338,0.001546495
339,0.001543824
340,0.00154129
341,0.001538894
342,0.001536629
343,0.001534492
344,0.001532482
345,0.001530584
346,0.001528802
347,0.001527122
348,0.00152554
349,0.001523944
350,0.001522331
351,0.001520846
352,0.001519466
353,0.001518179
354,0.001516988
355,0.00151588
356,0.001514861
357,0.001513927
358,0.001513065
359,0.001512286
360,0.001511592
361,0.001510858
362,0.001509838
363,0.001508845
