EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ShannonDiversity

year,value
1985,1.473257
1986,1.483125
1987,1.490785
1988,1.497926
1989,1.505318
1990,1.505093
1991,1.507318
1992,1.514013
1993,1.514903
1994,1.512038
1995,1.508284
1996,1.493429
1997,1.478882
1998,1.462699
1999,1.438642
2000,1.410654
2001,1.377131
2002,1.328329
2003,1.296564
2004,1.264426
2005,1.253204
2006,1.24499
2007,1.24011
2008,1.239744
2009,1.238446
2010,1.244781
2011,1.259234
2012,1.275233
2013,1.297306
2014,1.323652
2015,1.355131
2016,1.392851
2017,1.428308
