EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ShannonDiversity

timestep,value
1,1.466274
2,1.4678
3,1.469211
4,1.470526
5,1.471762
6,1.472937
7,1.474066
8,1.475164
9,1.476242
10,1.477308
11,1.478367
12,1.479422
13,1.479905
14,1.480422
15,1.480969
16,1.481542
17,1.482135
18,1.482745
19,1.483368
20,1.484
21,1.484639
22,1.485281
23,1.485925
24,1.486569
25,1.487225
26,1.487886
27,1.488549
28,1.489209
29,1.489863
30,1.490511
31,1.491151
32,1.491781
33,1.492403
34,1.493015
35,1.493618
36,1.494212
37,1.49479
38,1.495374
39,1.495961
40,1.496549
41,1.497133
42,1.497711
43,1.49828
44,1.498836
45,1.499375
46,1.499891
47,1.50038
48,1.500836
49,1.501638
50,1.502409
51,1.503146
52,1.503851
53,1.504524
54,1.505167
55,1.505781
56,1.50637
57,1.506935
58,1.50748
59,1.508005
60,1.508514
61,1.507552
62,1.506756
63,1.506101
64,1.505567
65,1.505135
66,1.504791
67,1.504522
68,1.504319
69,1.504174
70,1.504084
71,1.504048
72,1.504064
73,1.504361
74,1.504715
75,1.505128
76,1.505599
77,1.506129
78,1.506713
79,1.507349
80,1.508033
81,1.508761
82,1.509529
83,1.510332
84,1.511164
85,1.511402
86,1.511722
87,1.512112
88,1.512558
89,1.513052
90,1.513583
91,1.514142
92,1.514722
93,1.515315
94,1.515914
95,1.516516
96,1.517116
97,1.516421
98,1.515877
99,1.515457
100,1.515139
101,1.514901
102,1.514724
103,1.514594
104,1.514495
105,1.514415
106,1.514344
107,1.514274
108,1.514198
109,1.513716
110,1.513298
111,1.512933
112,1.512611
113,1.512323
114,1.51206
115,1.511815
116,1.511583
117,1.511359
118,1.511139
119,1.510918
120,1.510696
121,1.510404
122,1.510076
123,1.509721
124,1.509346
125,1.508954
126,1.50855
127,1.508136
128,1.507714
129,1.507285
130,1.50685
131,1.50641
132,1.505964
133,1.503362
134,1.501031
135,1.498928
136,1.497015
137,1.495258
138,1.493629
139,1.492101
140,1.490654
141,1.489269
142,1.487931
143,1.486625
144,1.485343
145,1.484305
146,1.483278
147,1.482265
148,1.481265
149,1.480278
150,1.479303
151,1.478339
152,1.477386
153,1.476442
154,1.475504
155,1.474572
156,1.473645
157,1.471637
158,1.469756
159,1.467984
160,1.466305
161,1.464703
162,1.463164
163,1.461676
164,1.460228
165,1.45881
166,1.457415
167,1.456037
168,1.454669
169,1.451626
170,1.448819
171,1.446209
172,1.443762
173,1.441449
174,1.439244
175,1.437122
176,1.435065
177,1.433054
178,1.431075
179,1.429115
180,1.427164
181,1.424162
182,1.421352
183,1.418699
184,1.416175
185,1.413756
186,1.411421
187,1.409152
188,1.406934
189,1.404755
190,1.402605
191,1.400475
192,1.398358
193,1.394418
194,1.390747
195,1.387301
196,1.384044
197,1.380944
198,1.377973
199,1.375109
200,1.372329
201,1.369619
202,1.366964
203,1.364352
204,1.361774
205,1.353709
206,1.347023
207,1.341363
208,1.336467
209,1.332145
210,1.328253
211,1.324682
212,1.32135
213,1.318196
214,1.31517
215,1.312234
216,1.309358
217,1.307778
218,1.306041
219,1.304167
220,1.302181
221,1.300105
222,1.297958
223,1.295756
224,1.293514
225,1.291245
226,1.288961
227,1.286673
228,1.284389
229,1.279351
230,1.275162
231,1.271637
232,1.268639
233,1.266066
234,1.263837
235,1.261886
236,1.260159
237,1.25861
238,1.257199
239,1.255896
240,1.254672
241,1.254731
242,1.254715
243,1.254614
244,1.254427
245,1.254157
246,1.253808
247,1.253387
248,1.252901
249,1.252358
250,1.251766
251,1.251131
252,1.250458
253,1.249552
254,1.24862
255,1.247687
256,1.246774
257,1.245896
258,1.245066
259,1.244292
260,1.243578
261,1.242926
262,1.242338
263,1.241812
264,1.241344
265,1.24104
266,1.240776
267,1.240549
268,1.240358
269,1.240196
270,1.240061
271,1.239947
272,1.239848
273,1.23976
274,1.239677
275,1.239596
276,1.239512
277,1.239577
278,1.239634
279,1.239681
280,1.239718
281,1.239745
282,1.239763
283,1.239774
284,1.239781
285,1.239788
286,1.239799
287,1.239819
288,1.239853
289,1.239519
290,1.23921
291,1.238927
292,1.238676
293,1.23846
294,1.238282
295,1.238146
296,1.238051
297,1.237998
298,1.237987
299,1.238016
300,1.238084
301,1.23902
302,1.239989
303,1.24099
304,1.242017
305,1.243068
306,1.244138
307,1.245225
308,1.246328
309,1.247444
310,1.248573
311,1.249714
312,1.250868
313,1.252146
314,1.253421
315,1.254694
316,1.255967
317,1.257242
318,1.258523
319,1.259812
320,1.261115
321,1.262435
322,1.263776
323,1.265142
324,1.266537
325,1.267706
326,1.268917
327,1.270173
328,1.271477
329,1.272832
330,1.274238
331,1.275692
332,1.277192
333,1.278736
334,1.280318
335,1.281935
336,1.283581
337,1.285674
338,1.287784
339,1.289902
340,1.292022
341,1.294142
342,1.296259
343,1.298373
344,1.300483
345,1.302592
346,1.3047
347,1.306811
348,1.308926
349,1.31116
350,1.313391
351,1.315623
352,1.317863
353,1.320114
354,1.322382
355,1.324671
356,1.326983
357,1.329324
358,1.331694
359,1.334094
360,1.336527
361,1.33929
362,1.342081
363,1.344899
364,1.347744
365,1.350617
366,1.353516
367,1.356443
368,1.359396
369,1.362374
370,1.365375
371,1.368399
372,1.371442
373,1.374763
374,1.378079
375,1.381389
376,1.384692
377,1.387986
378,1.391272
379,1.394548
380,1.397813
381,1.401067
382,1.404308
383,1.407537
384,1.410753
385,1.413495
386,1.416233
387,1.418966
388,1.42169
389,1.424402
390,1.427099
391,1.429775
392,1.432428
393,1.435051
394,1.437642
395,1.440198
396,1.442715
