EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TL

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,3.367524,3.589411,3.839658,2.580931,2.744907,2.744907,2.910513,2.910513,2.910513,2.892938,3.448192,3.998466,3.945239,3.672261,3.731688,3.368344,3.368185,3.062894,2.180296,2.379871,1,1
1986,3.372966,3.601902,3.858431,2.583527,2.744008,2.744008,2.90961,2.90961,2.90961,2.844661,3.470118,4.000327,3.988735,3.678452,3.736333,3.368771,3.3686,3.062098,2.180114,2.37934,1,1
1987,3.37751,3.625421,3.888911,2.581491,2.743394,2.743394,2.90899,2.90899,2.90899,2.78075,3.504998,4.003641,4.042121,3.685778,3.741642,3.369488,3.368599,3.06152,2.179851,2.378966,1,1
1988,3.381139,3.657604,3.922084,2.578428,2.743178,2.743178,2.90877,2.90877,2.90877,2.723469,3.544517,4.00645,4.082611,3.689632,3.747149,3.370314,3.369509,3.06127,2.179533,2.378825,1,1
1989,3.375198,3.70394,3.962778,2.574796,2.743206,2.743206,2.908796,2.908796,2.908796,2.670342,3.592986,4.006018,4.097146,3.695204,3.742891,3.370548,3.369603,3.061222,2.179124,2.378826,1,1
1990,3.355927,3.773129,4.021774,2.57295,2.743583,2.743583,2.909171,2.909171,2.909171,2.639499,3.65018,3.999146,4.110909,3.677902,3.724166,3.369965,3.368466,3.061473,2.178672,2.379028,1,1
1991,3.328445,3.844186,4.075975,2.576021,2.743848,2.743848,2.909436,2.909436,2.909436,2.628982,3.705412,3.983593,4.123359,3.637696,3.689978,3.368241,3.366732,3.06164,2.17816,2.379173,1,1
1992,3.30135,3.901647,4.11271,2.581792,2.743409,2.743409,2.908992,2.908992,2.908992,2.635562,3.748161,3.957817,4.136577,3.594633,3.643846,3.365721,3.364373,3.0612,2.177562,2.378904,1,1
1993,3.276051,3.949608,4.147001,2.582841,2.743219,2.743218,2.908798,2.908798,2.908798,2.674776,3.78026,3.924853,4.150258,3.543048,3.591888,3.363299,3.36206,3.060976,2.177013,2.378774,1,1
1994,3.254633,3.988665,4.178773,2.580349,2.7436,2.7436,2.909178,2.909178,2.909178,2.73862,3.804623,3.89147,4.159624,3.489722,3.539671,3.361418,3.360321,3.061241,2.176528,2.37898,1,1
