EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TLC

timestep,value
1,3.570287
2,3.564917
3,3.560066
4,3.555667
5,3.551674
6,3.548048
7,3.544761
8,3.541789
9,3.539111
10,3.536706
11,3.534556
12,3.532643
13,3.688256
14,3.682809
15,3.677401
16,3.67204
17,3.666731
18,3.661475
19,3.65627
20,3.651116
21,3.646013
22,3.640954
23,3.635939
24,3.630967
25,3.65347
26,3.646888
27,3.640685
28,3.634829
29,3.629295
30,3.624065
31,3.619128
32,3.614471
33,3.610084
34,3.605955
35,3.602071
36,3.598419
37,3.601766
38,3.599717
39,3.597856
40,3.596158
41,3.594598
42,3.593148
43,3.591779
44,3.590459
45,3.589154
46,3.587831
47,3.586454
48,3.584992
49,3.437566
50,3.440476
51,3.443156
52,3.445621
53,3.447888
54,3.449976
55,3.451901
56,3.453682
57,3.455335
58,3.456874
59,3.458315
60,3.459675
61,3.019711
62,3.024683
63,3.029362
64,3.03378
65,3.037965
66,3.041935
67,3.04571
68,3.0493
69,3.052715
70,3.055963
71,3.059048
72,3.061967
73,3.099766
74,3.101642
75,3.103466
76,3.105223
77,3.106902
78,3.108493
79,3.109988
80,3.111384
81,3.112683
82,3.113886
83,3.114999
84,3.116028
85,3.043957
86,3.046045
87,3.047954
88,3.049684
89,3.051241
90,3.052619
91,3.053821
92,3.054858
93,3.05574
94,3.056479
95,3.05708
96,3.057554
97,2.962309
98,2.964425
99,2.966253
100,2.967839
101,2.969223
102,2.970442
103,2.971527
104,2.972497
105,2.973371
106,2.974163
107,2.97489
108,2.975564
109,2.954729
110,2.956071
111,2.957337
112,2.958531
113,2.959655
114,2.960713
115,2.961709
116,2.962647
117,2.963532
118,2.964369
119,2.965161
120,2.965911
121,2.997324
122,2.997669
123,2.998049
124,2.998452
125,2.998866
126,2.999283
127,2.999699
128,3.00011
129,3.000513
130,3.000907
131,3.001291
132,3.001663
133,2.922185
134,2.924989
135,2.92744
136,2.929587
137,2.931472
138,2.933129
139,2.934589
140,2.935878
141,2.937017
142,2.938027
143,2.938922
144,2.939718
145,2.966759
146,2.966649
147,2.966549
148,2.966451
149,2.96635
150,2.966239
151,2.966113
152,2.965971
153,2.965807
154,2.965621
155,2.965407
156,2.965167
157,2.939108
158,2.940744
159,2.942223
160,2.94356
161,2.944765
162,2.945857
163,2.946847
164,2.947752
165,2.948585
166,2.949352
167,2.950066
168,2.950741
169,2.919758
170,2.922384
171,2.924662
172,2.926648
173,2.928387
174,2.929919
175,2.931278
176,2.932494
177,2.933589
178,2.934586
179,2.935501
180,2.936346
181,2.910289
182,2.912924
183,2.91534
184,2.917561
185,2.919609
186,2.921504
187,2.923266
188,2.924911
189,2.926458
190,2.927917
191,2.929304
192,2.930628
193,2.920235
194,2.92415
195,2.927734
196,2.931032
197,2.934086
198,2.936939
199,2.939635
200,2.942207
201,2.944682
202,2.947083
203,2.949429
204,2.951734
205,2.864232
206,2.875297
207,2.885409
208,2.894667
209,2.903205
210,2.911177
211,2.918729
212,2.92598
213,2.933023
214,2.939928
215,2.946743
216,2.953502
217,3.022451
218,3.022221
219,3.023176
220,3.025104
221,3.027829
222,3.031227
223,3.035199
224,3.039662
225,3.044545
226,3.049786
227,3.055322
228,3.061101
229,2.989569
230,3.019661
231,3.048848
232,3.076845
233,3.10345
234,3.128441
235,3.151632
236,3.172916
237,3.192269
238,3.209746
239,3.225419
240,3.239441
241,3.416077
242,3.404842
243,3.395163
244,3.386824
245,3.379641
246,3.373452
247,3.36811
248,3.363483
249,3.359446
250,3.355886
251,3.352699
252,3.349792
253,3.371995
254,3.373452
255,3.376569
256,3.380801
257,3.385727
258,3.391032
259,3.396472
260,3.401872
261,3.407098
262,3.412053
263,3.416665
264,3.420885
265,3.46399
266,3.462965
267,3.461309
268,3.459083
269,3.456368
270,3.453253
271,3.449824
272,3.446159
273,3.442326
274,3.438376
275,3.434347
276,3.430256
277,3.447126
278,3.442047
279,3.437081
280,3.43234
281,3.427924
282,3.423911
283,3.420357
284,3.417288
285,3.414708
286,3.412599
287,3.410931
288,3.409662
289,3.4171
290,3.415418
291,3.41381
292,3.412262
293,3.410747
294,3.409232
295,3.407683
296,3.406067
297,3.404353
298,3.402521
299,3.400549
300,3.398426
301,3.438387
302,3.434047
303,3.429649
304,3.425168
305,3.420594
306,3.415925
307,3.411176
308,3.406368
309,3.401534
310,3.396712
311,3.391938
312,3.387254
313,3.417415
314,3.412598
315,3.407873
316,3.403254
317,3.398751
318,3.394378
319,3.390146
320,3.386062
321,3.382136
322,3.37837
323,3.374763
324,3.371314
325,3.305748
326,3.303936
327,3.301965
328,3.299833
329,3.297536
330,3.295075
331,3.292446
332,3.289649
333,3.286684
334,3.283551
335,3.280256
336,3.276805
337,3.335626
338,3.330233
339,3.324799
340,3.319332
341,3.313842
342,3.308337
343,3.302825
344,3.297316
345,3.291817
346,3.286339
347,3.280893
348,3.275488
349,3.27556
350,3.270513
351,3.265707
352,3.261129
353,3.256765
354,3.252602
355,3.248626
356,3.244823
357,3.24118
358,3.237686
359,3.234329
360,3.2311
361,3.30766
362,3.30288
363,3.298138
364,3.293428
365,3.288747
366,3.28409
367,3.279454
368,3.27484
369,3.270248
370,3.265672
371,3.261108
372,3.256561
373,3.322782
374,3.317816
375,3.312928
376,3.30812
377,3.303396
378,3.298761
379,3.294224
380,3.289787
381,3.285457
382,3.281242
383,3.277149
384,3.273181
385,3.280136
386,3.275437
387,3.270834
388,3.266338
389,3.26196
390,3.257707
391,3.253582
392,3.249577
393,3.245698
394,3.241947
395,3.238326
396,3.234834
