EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Value

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,2.879722E-06,0,0,0,0,0,0,0,0,0,0.0007105072,0,0,0,0,0,0,0,0,0,0,0
2,2.906714E-06,0,0,0,0,0,0,0,0,0,0.0007105171,0,0,0,0,0,0,0,0,0,0,0
3,2.93377E-06,0,0,0,0,0,0,0,0,0,0.0007105359,0,0,0,0,0,0,0,0,0,0,0
4,2.961049E-06,0,0,0,0,0,0,0,0,0,0.0007105633,0,0,0,0,0,0,0,0,0,0,0
5,2.988627E-06,0,0,0,0,0,0,0,0,0,0.0007105989,0,0,0,0,0,0,0,0,0,0,0
6,3.016535E-06,0,0,0,0,0,0,0,0,0,0.0007106428,0,0,0,0,0,0,0,0,0,0,0
7,3.044775E-06,0,0,0,0,0,0,0,0,0,0.0007106947,0,0,0,0,0,0,0,0,0,0,0
8,3.073344E-06,0,0,0,0,0,0,0,0,0,0.0007107544,0,0,0,0,0,0,0,0,0,0,0
9,3.102232E-06,0,0,0,0,0,0,0,0,0,0.0007108218,0,0,0,0,0,0,0,0,0,0,0
10,3.131434E-06,0,0,0,0,0,0,0,0,0,0.0007108971,0,0,0,0,0,0,0,0,0,0,0
11,3.160954E-06,0,0,0,0,0,0,0,0,0,0.0007109802,0,0,0,0,0,0,0,0,0,0,0
12,3.190803E-06,0,0,0,0,0,0,0,0,0,0.0007110708,0,0,0,0,0,0,0,0,0,0,0
13,3.221005E-06,0,0,0,0,0,0,0,0,0,0.0007111733,0,0,0,0,0,0,0,0,0,0,0
14,3.251631E-06,0,0,0,0,0,0,0,0,0,0.0007112917,0,0,0,0,0,0,0,0,0,0,0
15,3.282742E-06,0,0,0,0,0,0,0,0,0,0.0007114263,0,0,0,0,0,0,0,0,0,0,0
16,3.31442E-06,0,0,0,0,0,0,0,0,0,0.0007115774,0,0,0,0,0,0,0,0,0,0,0
17,3.346768E-06,0,0,0,0,0,0,0,0,0,0.0007117455,0,0,0,0,0,0,0,0,0,0,0
18,3.379908E-06,0,0,0,0,0,0,0,0,0,0.0007119309,0,0,0,0,0,0,0,0,0,0,0
19,3.413977E-06,0,0,0,0,0,0,0,0,0,0.000712134,0,0,0,0,0,0,0,0,0,0,0
20,3.449123E-06,0,0,0,0,0,0,0,0,0,0.0007123551,0,0,0,0,0,0,0,0,0,0,0
21,3.4855E-06,0,0,0,0,0,0,0,0,0,0.0007125948,0,0,0,0,0,0,0,0,0,0,0
22,3.523269E-06,0,0,0,0,0,0,0,0,0,0.0007128532,0,0,0,0,0,0,0,0,0,0,0
23,3.562586E-06,0,0,0,0,0,0,0,0,0,0.0007131306,0,0,0,0,0,0,0,0,0,0,0
24,3.603604E-06,0,0,0,0,0,0,0,0,0,0.0007134269,0,0,0,0,0,0,0,0,0,0,0
25,3.647025E-06,0,0,0,0,0,0,0,0,0,0.0007137431,0,0,0,0,0,0,0,0,0,0,0
26,3.692251E-06,0,0,0,0,0,0,0,0,0,0.0007140799,0,0,0,0,0,0,0,0,0,0,0
27,3.739486E-06,0,0,0,0,0,0,0,0,0,0.0007144376,0,0,0,0,0,0,0,0,0,0,0
28,3.788775E-06,0,0,0,0,0,0,0,0,0,0.000714816,0,0,0,0,0,0,0,0,0,0,0
29,3.840151E-06,0,0,0,0,0,0,0,0,0,0.0007152152,0,0,0,0,0,0,0,0,0,0,0
30,3.893654E-06,0,0,0,0,0,0,0,0,0,0.0007156353,0,0,0,0,0,0,0,0,0,0,0
31,3.949342E-06,0,0,0,0,0,0,0,0,0,0.0007160762,0,0,0,0,0,0,0,0,0,0,0
32,4.007295E-06,0,0,0,0,0,0,0,0,0,0.0007165379,0,0,0,0,0,0,0,0,0,0,0
33,4.067614E-06,0,0,0,0,0,0,0,0,0,0.0007170207,0,0,0,0,0,0,0,0,0,0,0
34,4.130422E-06,0,0,0,0,0,0,0,0,0,0.0007175244,0,0,0,0,0,0,0,0,0,0,0
35,4.195859E-06,0,0,0,0,0,0,0,0,0,0.0007180495,0,0,0,0,0,0,0,0,0,0,0
36,4.264078E-06,0,0,0,0,0,0,0,0,0,0.000718596,0,0,0,0,0,0,0,0,0,0,0
37,4.334374E-06,0,0,0,0,0,0,0,0,0,0.0007191639,0,0,0,0,0,0,0,0,0,0,0
38,4.406696E-06,0,0,0,0,0,0,0,0,0,0.0007197532,0,0,0,0,0,0,0,0,0,0,0
39,4.481004E-06,0,0,0,0,0,0,0,0,0,0.0007203645,0,0,0,0,0,0,0,0,0,0,0
40,4.55729E-06,0,0,0,0,0,0,0,0,0,0.0007209984,0,0,0,0,0,0,0,0,0,0,0
41,4.63555E-06,0,0,0,0,0,0,0,0,0,0.0007216558,0,0,0,0,0,0,0,0,0,0,0
42,4.715758E-06,0,0,0,0,0,0,0,0,0,0.0007223371,0,0,0,0,0,0,0,0,0,0,0
43,4.797853E-06,0,0,0,0,0,0,0,0,0,0.0007230431,0,0,0,0,0,0,0,0,0,0,0
44,4.881745E-06,0,0,0,0,0,0,0,0,0,0.0007237743,0,0,0,0,0,0,0,0,0,0,0
45,4.967309E-06,0,0,0,0,0,0,0,0,0,0.000724531,0,0,0,0,0,0,0,0,0,0,0
46,5.054388E-06,0,0,0,0,0,0,0,0,0,0.0007253134,0,0,0,0,0,0,0,0,0,0,0
47,5.142791E-06,0,0,0,0,0,0,0,0,0,0.0007261215,0,0,0,0,0,0,0,0,0,0,0
48,5.23231E-06,0,0,0,0,0,0,0,0,0,0.000726955,0,0,0,0,0,0,0,0,0,0,0
49,5.319985E-06,0,0,0,0,0,0,0,0,0,0.0007278163,0,0,0,0,0,0,0,0,0,0,0
50,5.405359E-06,0,0,0,0,0,0,0,0,0,0.0007287096,0,0,0,0,0,0,0,0,0,0,0
51,5.48804E-06,0,0,0,0,0,0,0,0,0,0.0007296353,0,0,0,0,0,0,0,0,0,0,0
52,5.567748E-06,0,0,0,0,0,0,0,0,0,0.0007305935,0,0,0,0,0,0,0,0,0,0,0
53,5.644324E-06,0,0,0,0,0,0,0,0,0,0.0007315843,0,0,0,0,0,0,0,0,0,0,0
54,5.717713E-06,0,0,0,0,0,0,0,0,0,0.0007326077,0,0,0,0,0,0,0,0,0,0,0
55,5.787962E-06,0,0,0,0,0,0,0,0,0,0.000733664,0,0,0,0,0,0,0,0,0,0,0
56,5.855211E-06,0,0,0,0,0,0,0,0,0,0.0007347532,0,0,0,0,0,0,0,0,0,0,0
57,5.919674E-06,0,0,0,0,0,0,0,0,0,0.000735875,0,0,0,0,0,0,0,0,0,0,0
58,5.981628E-06,0,0,0,0,0,0,0,0,0,0.0007370294,0,0,0,0,0,0,0,0,0,0,0
59,6.041404E-06,0,0,0,0,0,0,0,0,0,0.0007382161,0,0,0,0,0,0,0,0,0,0,0
60,6.09937E-06,0,0,0,0,0,0,0,0,0,0.0007394351,0,0,0,0,0,0,0,0,0,0,0
61,6.159757E-06,0,0,0,0,0,0,0,0,0,0.0007406918,0,0,0,0,0,0,0,0,0,0,0
62,6.223032E-06,0,0,0,0,0,0,0,0,0,0.0007419926,0,0,0,0,0,0,0,0,0,0,0
63,6.290009E-06,0,0,0,0,0,0,0,0,0,0.0007433373,0,0,0,0,0,0,0,0,0,0,0
64,6.361336E-06,0,0,0,0,0,0,0,0,0,0.0007447256,0,0,0,0,0,0,0,0,0,0,0
65,6.437557E-06,0,0,0,0,0,0,0,0,0,0.000746157,0,0,0,0,0,0,0,0,0,0,0
66,6.51915E-06,0,0,0,0,0,0,0,0,0,0.0007476312,0,0,0,0,0,0,0,0,0,0,0
67,6.60653E-06,0,0,0,0,0,0,0,0,0,0.0007491475,0,0,0,0,0,0,0,0,0,0,0
68,6.700088E-06,0,0,0,0,0,0,0,0,0,0.0007507054,0,0,0,0,0,0,0,0,0,0,0
69,6.800182E-06,0,0,0,0,0,0,0,0,0,0.000752304,0,0,0,0,0,0,0,0,0,0,0
70,6.907152E-06,0,0,0,0,0,0,0,0,0,0.0007539428,0,0,0,0,0,0,0,0,0,0,0
71,7.021303E-06,0,0,0,0,0,0,0,0,0,0.0007556209,0,0,0,0,0,0,0,0,0,0,0
