"index","year","month","lag","raw_value","scaled_value","impacted_functional_group"
"amo",1984,1,1,-0.11,0.679446219382322,"menhaden 0"
"amo",1984,2,1,-0.092,0.717784877529286,"menhaden 0"
"amo",1984,3,1,-0.129,0.638977635782748,"menhaden 0"
"amo",1984,4,1,-0.161,0.570820021299255,"menhaden 0"
"amo",1984,5,1,-0.17,0.551650692225772,"menhaden 0"
"amo",1984,6,1,-0.329,0.212992545260916,"menhaden 0"
"amo",1984,7,1,-0.27,0.338658146964856,"menhaden 0"
"amo",1984,8,1,-0.23,0.423855165069222,"menhaden 0"
"amo",1984,9,1,-0.213,0.460063897763578,"menhaden 0"
"amo",1984,10,1,-0.348,0.172523961661342,"menhaden 0"
"amo",1984,11,1,-0.429,0,"menhaden 0"
"amo",1984,12,1,-0.322,0.22790202342918,"menhaden 0"
"amo",1985,1,1,-0.359,0.149094781682641,"menhaden 0"
"amo",1985,2,1,-0.334,0.20234291799787,"menhaden 0"
"amo",1985,3,1,-0.361,0.144834930777423,"menhaden 0"
"amo",1985,4,1,-0.405,0.0511182108626197,"menhaden 0"
"amo",1985,5,1,-0.342,0.185303514376997,"menhaden 0"
"amo",1985,6,1,-0.132,0.63258785942492,"menhaden 0"
"amo",1985,7,1,-0.157,0.579339723109691,"menhaden 0"
"amo",1985,8,1,-0.286,0.30457933972311,"menhaden 0"
"amo",1985,9,1,-0.252,0.376996805111821,"menhaden 0"
"amo",1985,10,1,-0.25,0.381256656017039,"menhaden 0"
"amo",1985,11,1,-0.3,0.274760383386581,"menhaden 0"
"amo",1985,12,1,-0.341,0.187433439829606,"menhaden 0"
"amo",1986,1,1,-0.348,0.172523961661342,"menhaden 0"
"amo",1986,2,1,-0.28,0.317358892438765,"menhaden 0"
"amo",1986,3,1,-0.297,0.281150159744409,"menhaden 0"
"amo",1986,4,1,-0.329,0.212992545260916,"menhaden 0"
"amo",1986,5,1,-0.233,0.417465388711395,"menhaden 0"
"amo",1986,6,1,-0.266,0.347177848775293,"menhaden 0"
"amo",1986,7,1,-0.253,0.374866879659212,"menhaden 0"
"amo",1986,8,1,-0.277,0.323748668796592,"menhaden 0"
"amo",1986,9,1,-0.224,0.436634717784878,"menhaden 0"
"amo",1986,10,1,-0.323,0.225772097976571,"menhaden 0"
"amo",1986,11,1,-0.402,0.0575079872204472,"menhaden 0"
"amo",1986,12,1,-0.376,0.112886048988285,"menhaden 0"
"amo",1987,1,1,-0.283,0.310969116080937,"menhaden 0"
"amo",1987,2,1,-0.222,0.440894568690096,"menhaden 0"
"amo",1987,3,1,-0.038,0.832800851970181,"menhaden 0"
"amo",1987,4,1,0.024,0.964856230031949,"menhaden 0"
"amo",1987,5,1,0.063,1.04792332268371,"menhaden 0"
"amo",1987,6,1,0.198,1.33546325878594,"menhaden 0"
"amo",1987,7,1,0.274,1.49733759318424,"menhaden 0"
"amo",1987,8,1,0.275,1.49946751863685,"menhaden 0"
"amo",1987,9,1,0.189,1.31629392971246,"menhaden 0"
"amo",1987,10,1,0.041,1.0010649627263,"menhaden 0"
"amo",1987,11,1,-0.075,0.753993610223642,"menhaden 0"
"amo",1987,12,1,0.038,0.994675186368477,"menhaden 0"
"amo",1988,1,1,-0.047,0.813631522896699,"menhaden 0"
"amo",1988,2,1,-0.122,0.653887113951012,"menhaden 0"
"amo",1988,3,1,-0.016,0.879659211927582,"menhaden 0"
"amo",1988,4,1,0.045,1.00958466453674,"menhaden 0"
"amo",1988,5,1,0.13,1.19062832800852,"menhaden 0"
"amo",1988,6,1,0.158,1.25026624068158,"menhaden 0"
"amo",1988,7,1,0.102,1.13099041533546,"menhaden 0"
"amo",1988,8,1,-0.016,0.879659211927582,"menhaden 0"
"amo",1988,9,1,-0.103,0.694355697550586,"menhaden 0"
"amo",1988,10,1,-0.179,0.53248136315229,"menhaden 0"
"amo",1988,11,1,-0.156,0.5814696485623,"menhaden 0"
"amo",1988,12,1,-0.172,0.547390841320554,"menhaden 0"
"amo",1989,1,1,-0.23,0.423855165069222,"menhaden 0"
"amo",1989,2,1,-0.165,0.562300319488818,"menhaden 0"
"amo",1989,3,1,-0.262,0.355697550585729,"menhaden 0"
"amo",1989,4,1,-0.298,0.2790202342918,"menhaden 0"
"amo",1989,5,1,-0.155,0.583599574014909,"menhaden 0"
"amo",1989,6,1,0.082,1.08839190628328,"menhaden 0"
"amo",1989,7,1,0.168,1.27156549520767,"menhaden 0"
"amo",1989,8,1,0.104,1.13525026624068,"menhaden 0"
"amo",1989,9,1,-0.103,0.694355697550586,"menhaden 0"
"amo",1989,10,1,-0.132,0.63258785942492,"menhaden 0"
"amo",1989,11,1,-0.159,0.575079872204473,"menhaden 0"
"amo",1989,12,1,-0.162,0.568690095846645,"menhaden 0"
"amo",1990,1,1,-0.308,0.257720979765708,"menhaden 0"
"amo",1990,2,1,-0.171,0.549520766773163,"menhaden 0"
"amo",1990,3,1,-0.188,0.513312034078807,"menhaden 0"
"amo",1990,4,1,-0.126,0.645367412140575,"menhaden 0"
"amo",1990,5,1,-0.068,0.768903088391906,"menhaden 0"
"amo",1990,6,1,-0.065,0.775292864749734,"menhaden 0"
"amo",1990,7,1,-0.031,0.847710330138445,"menhaden 0"
"amo",1990,8,1,0.043,1.00532481363152,"menhaden 0"
"amo",1990,9,1,0.138,1.20766773162939,"menhaden 0"
"amo",1990,10,1,0.104,1.13525026624068,"menhaden 0"
"amo",1990,11,1,-0.063,0.779552715654952,"menhaden 0"
"amo",1990,12,1,-0.045,0.817891373801917,"menhaden 0"
"amo",1991,1,1,-0.204,0.479233226837061,"menhaden 0"
"amo",1991,2,1,-0.126,0.645367412140575,"menhaden 0"
"amo",1991,3,1,-0.079,0.745473908413205,"menhaden 0"
"amo",1991,4,1,-0.142,0.611288604898829,"menhaden 0"
"amo",1991,5,1,-0.163,0.566560170394036,"menhaden 0"
"amo",1991,6,1,-0.139,0.617678381256656,"menhaden 0"
"amo",1991,7,1,-0.117,0.664536741214057,"menhaden 0"
"amo",1991,8,1,-0.119,0.660276890308839,"menhaden 0"
"amo",1991,9,1,-0.047,0.813631522896699,"menhaden 0"
"amo",1991,10,1,-0.272,0.334398296059638,"menhaden 0"
"amo",1991,11,1,-0.271,0.336528221512247,"menhaden 0"
"amo",1991,12,1,-0.224,0.436634717784878,"menhaden 0"
"amo",1992,1,1,-0.201,0.485623003194888,"menhaden 0"
