EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.9997508,1,1,0.9997769,1,1,1,1,1,1,1,0.9997939,1,0.9998747,1,0.9997531,1,1,1,1,1,1
2,0.9889976,1,1,1.116855,1,1,1,1,1,1,1,1.007675,1,1.017987,1,1.05479,1,1,1,1,1,1
3,0.9712602,1,1,1.345349,1,1,1,1,1,1,1,1.030457,1,1.064976,1,1.177907,1,1,1,1,1,1
4,0.9490094,1,1,1.735075,1,1,1,1,1,1,1,1.075174,1,1.148134,1,1.384084,1,1,1,1,1,1
5,0.9229091,1,1,2,1,1,1,1,1,1,1,1.150078,1,1.274081,1,1.706311,1,1,1,1,1,1
6,0.9124627,1,1,2,1,1,1,1,1,1,1,1.262215,1,1.435428,1,2,1,1,1,1,1,1
7,0.9345189,1,1,2,1,1,1,1,1,1,1,1.413809,1,1.608268,1,2,1,1,1,1,1,1
8,1.018812,1,1,1.843981,1,1,1,1,1,1,1,1.595557,1,1.741549,1,2,1,1,1,1,1,1
9,1.155531,1,1,1.486352,1,1,1,1,1,1,1,1.773642,1,1.774356,1,1.7668,1,1,1,1,1,1
10,1.286626,1,1,1.190391,1,1,1,1,1,1,1,1.90625,1,1.701733,1,1.472103,1,1,1,1,1,1
11,1.375545,1,1,0.9930217,1,1,1,1,1,1,1,1.972047,1,1.562069,1,1.235257,1,1,1,1,1,1
12,1.420856,1,1,0.8424107,1,1,1,1,1,1,1,1.96287,1,1.383201,1,1.048,1,1,1,1,1,1
13,1.410694,1,1,0.7979383,1,1,1,1,1,1,1,1.910956,1,1.223758,1,0.9524574,1,1,1,1,1,1
14,1.369155,1,1,0.8144293,1,1,1,1,1,1,1,1.848977,1,1.105233,1,0.9281456,1,1,1,1,1,1
15,1.316463,1,1,0.8618155,1,1,1,1,1,1,1,1.795961,1,1.029295,1,0.9501559,1,1,1,1,1,1
16,1.261678,1,1,0.9442877,1,1,1,1,1,1,1,1.76427,1,0.9952297,1,1.010837,1,1,1,1,1,1
17,1.207406,1,1,1.084035,1,1,1,1,1,1,1,1.763587,1,1.004278,1,1.117951,1,1,1,1,1,1
18,1.154254,1,1,1.31185,1,1,1,1,1,1,1,1.801884,1,1.058258,1,1.287453,1,1,1,1,1,1
19,1.117552,1,1,1.502701,1,1,1,1,1,1,1,1.880869,1,1.147214,1,1.479542,1,1,1,1,1,1
