EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FIB

year,value
1985,-1.694214
1986,-1.624463
1987,-2.045671
1988,-2.3294
1989,-2.201126
1990,-1.052826
1991,-0.6030475
1992,0.03836896
1993,0.3312365
1994,-0.2822117
1995,-0.3025311
1996,0.3610179
1997,0.2444919
1998,1.053334
1999,0.6725418
2000,0.4370531
2001,0.1766253
2002,0.0958716
2003,-0.131264
2004,-0.09193456
2005,-0.01691176
2006,0.2580424
2007,0.3266892
2008,-0.09776465
2009,0.3202303
2010,-0.07413863
2011,0.05658776
2012,0.3889617
2013,-0.332146
2014,-0.3207997
2015,-0.5875251
2016,-0.6688842
2017,-0.9512177
