EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,FIB

timestep,value
1,-1.550425
2,-1.608122
3,-1.694115
4,-1.831341
5,-1.834281
6,-1.802139
7,-1.743958
8,-1.720671
9,-1.69946
10,-1.664815
11,-1.600892
12,-1.580353
13,-1.325912
14,-1.373803
15,-1.428141
16,-1.497465
17,-1.586718
18,-1.639586
19,-1.675488
20,-1.70053
21,-1.760643
22,-1.824772
23,-1.851603
24,-1.828902
25,-1.92384
26,-1.947891
27,-1.955634
28,-1.924983
29,-1.944979
30,-1.970995
31,-2.021249
32,-2.096303
33,-2.128145
34,-2.163035
35,-2.21026
36,-2.260734
37,-2.174999
38,-2.211715
39,-2.251683
40,-2.29478
41,-2.326926
42,-2.374039
43,-2.35952
44,-2.369366
45,-2.387837
46,-2.41061
47,-2.389199
48,-2.402124
49,-2.557986
50,-2.548611
51,-2.538047
52,-2.487788
53,-2.415001
54,-2.330783
55,-2.221483
56,-2.09929
57,-1.975525
58,-1.852972
59,-1.739217
60,-1.646814
61,-1.130908
62,-1.151157
63,-1.168917
64,-1.170296
65,-1.173191
66,-1.186829
67,-1.158664
68,-1.072982
69,-0.9951547
70,-0.8867508
71,-0.8122718
72,-0.7267937
73,-0.7936941
74,-0.7656943
75,-0.7444368
76,-0.7447078
77,-0.7300498
78,-0.6902827
79,-0.6369694
80,-0.5335205
81,-0.4581603
82,-0.4239576
83,-0.3780102
84,-0.3370862
85,-0.06060585
86,-0.03518094
87,-0.0526475
88,-0.08608131
89,-0.09201474
90,-0.05273707
91,0.01185849
92,0.08466308
93,0.1326605
94,0.179381
95,0.2054193
96,0.2257125
97,0.6165073
98,0.6097037
99,0.5979609
100,0.6043476
101,0.6044647
102,0.5175907
103,0.3883702
104,0.2494154
105,0.1134915
106,-0.008241179
107,-0.1211863
108,-0.1975868
109,-0.1704666
110,-0.2094633
111,-0.2015226
112,-0.2199665
113,-0.249849
114,-0.2837864
115,-0.3071839
116,-0.3190506
117,-0.3098494
118,-0.3469613
119,-0.3775339
120,-0.390907
121,-0.2950066
122,-0.2746515
123,-0.2555009
124,-0.2556293
125,-0.2512947
126,-0.2126816
127,-0.2203939
128,-0.3163169
129,-0.4296439
130,-0.4094958
131,-0.3814898
132,-0.3282681
133,0.06531726
134,0.161076
135,0.2274228
136,0.3246488
137,0.405065
138,0.436673
139,0.4180007
140,0.4451564
141,0.4732594
142,0.4687749
143,0.4596436
144,0.4471767
145,0.3940978
146,0.3480747
147,0.2897967
148,0.2310824
149,0.1991779
150,0.2008061
151,0.2226966
152,0.2300835
153,0.2208338
154,0.2104044
155,0.1850943
156,0.201755
157,0.3757168
158,0.4514673
159,0.5571211
160,0.6883535
161,0.8487229
162,1.027903
163,1.24638
164,1.391325
165,1.467669
166,1.502507
167,1.537716
168,1.545123
169,1.461156
170,1.164669
171,0.9712798
172,0.9238483
173,0.8230731
174,0.712956
175,0.5842986
176,0.4430991
177,0.1608404
178,0.218228
179,0.280624
180,0.3264284
181,0.4733864
182,0.4927062
183,0.5003914
184,0.4832961
185,0.4779878
186,0.4610392
187,0.4539638
188,0.4382286
189,0.428261
190,0.4190577
191,0.3532866
192,0.2630317
193,0.3359775
194,0.216238
195,0.1146717
196,0.05371628
197,0.02705044
198,0.04357044
199,0.09318446
200,0.1722416
201,0.2397508
202,0.2774177
203,0.2841678
204,0.2615163
205,0.7684597
206,0.6576362
207,0.4859759
208,0.2633949
209,0.07055539
210,-0.06569733
211,-0.1508173
212,-0.1994776
213,-0.2538868
214,-0.2291132
215,-0.1482328
216,-0.04833791
217,-0.1672974
218,-0.1130924
219,-0.06051688
220,-0.05777989
221,-0.06345964
222,-0.09933012
223,-0.1149796
224,-0.1295585
225,-0.1447143
226,-0.1762509
227,-0.2062393
228,-0.2419494
229,-0.1017144
230,-0.1709331
231,-0.2060054
232,-0.2288174
233,-0.2294121
234,-0.2223368
235,-0.2035436
236,-0.1450622
237,-0.05370482
238,0.06056084
239,0.1593858
240,0.2383685
241,-0.1215424
242,-0.06753295
243,-0.03531564
244,-0.0150724
245,2.335553E-05
246,0.01484987
247,0.01142435
248,0.01099556
249,0.0005652787
250,-0.03836775
251,-0.01037419
252,0.04740575
253,0.1509751
254,0.2034316
255,0.2520477
256,0.2663212
257,0.2492889
258,0.2055892
259,0.2224861
260,0.2527373
261,0.2791398
262,0.3020411
263,0.3314219
264,0.3810291
265,0.417973
266,0.4405077
267,0.4381354
268,0.4104753
269,0.4315738
270,0.4222116
271,0.3858769
272,0.3443521
273,0.2971982
274,0.2203322
275,0.1372464
276,-0.02561185
277,-0.2331531
278,-0.413387
279,-0.3933393
280,-0.3340815
281,-0.2608922
282,-0.1816581
283,-0.0920563
284,-0.001810321
285,0.08668369
286,0.1635328
287,0.2208015
288,0.2661842
289,0.4276012
290,0.4390012
291,0.4137497
292,0.3652105
293,0.3138684
294,0.2598719
295,0.227142
296,0.2326425
297,0.252824
298,0.2734684
299,0.304237
300,0.3331463
301,-0.1990067
302,-0.1513082
303,-0.09804469
304,-0.02846447
305,0.01474315
306,0.0340532
307,0.03097994
308,0.004711605
309,-0.04070646
310,-0.1167808
311,-0.1602499
312,-0.1795903
313,-0.2443936
314,-0.2463483
315,-0.2274758
316,-0.1907109
317,-0.1292972
318,-0.04988151
319,0.03139222
320,0.1166501
321,0.232223
322,0.3573788
323,0.4728995
324,0.5566167
325,0.8299471
326,0.8221059
327,0.792823
328,0.7337681
329,0.6157366
330,0.4848668
331,0.3536712
332,0.2089177
333,0.06908393
334,-0.02110282
335,-0.08152442
336,-0.1407522
337,-0.4173658
338,-0.4320538
339,-0.4407945
340,-0.4495155
341,-0.4409343
342,-0.3923817
343,-0.3473
344,-0.2884896
345,-0.235111
346,-0.2002216
347,-0.1786939
348,-0.1628909
349,-0.2015785
350,-0.2038557
351,-0.2142848
352,-0.2266776
353,-0.2413182
354,-0.269637
355,-0.3107572
356,-0.3555079
357,-0.4052789
358,-0.4447792
359,-0.4791261
360,-0.496796
361,-0.6703951
362,-0.6780526
363,-0.6772425
364,-0.6767095
365,-0.6985038
366,-0.6674736
367,-0.6242535
368,-0.5731477
369,-0.5062835
370,-0.4478783
371,-0.4255595
372,-0.4048013
373,-0.6403358
374,-0.6157625
375,-0.6093272
376,-0.6106324
377,-0.6008703
378,-0.6091369
379,-0.614035
380,-0.6531138
381,-0.7019073
382,-0.7229145
383,-0.7891712
384,-0.8594029
385,-0.7961141
386,-0.8850089
387,-0.971409
388,-0.9621449
389,-0.9374406
390,-0.9630344
391,-0.9532844
392,-0.9451149
393,-0.9652892
394,-0.9666275
395,-1.005987
396,-1.063159
