EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,KemptonsQ

year,value
1985,2.035644
1986,1.890697
1987,1.905807
1988,1.828399
1989,1.913811
1990,1.869792
1991,2.615496
1992,1.799132
1993,2.20903
1994,1.933285
1995,1.530528
1996,1.617912
1997,2.849577
1998,2.356301
1999,1.783561
2000,1.505979
2001,1.73302
2002,1.854266
2003,1.495039
2004,1.623629
2005,1.333864
2006,1.273032
2007,1.712928
2008,1.174783
2009,1.120087
2010,1.805162
2011,1.164113
2012,1.778468
2013,1.30434
2014,1.44737
2015,1.367792
2016,1.333697
2017,1.381225
