EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,KemptonsQ

timestep,value
1,2.486316
2,2.457478
3,2.824329
4,2.881984
5,2.382036
6,1.612859
7,1.6248
8,1.667547
9,1.714685
10,1.718816
11,1.688104
12,1.368771
13,1.337781
14,2.333167
15,2.343656
16,2.436577
17,2.454754
18,2.390116
19,1.367586
20,1.703547
21,1.468986
22,1.49648
23,1.504017
24,1.851701
25,1.872604
26,1.901332
27,1.55576
28,1.570489
29,1.581795
30,2.43546
31,2.39169
32,2.537395
33,2.355601
34,1.519481
35,1.551103
36,1.59697
37,1.655608
38,2.009722
39,1.996535
40,1.686294
41,1.693501
42,1.702498
43,1.963914
44,1.965958
45,1.752295
46,1.764913
47,1.967514
48,1.782035
49,1.778088
50,1.774333
51,1.939776
52,1.938371
53,1.951945
54,1.989912
55,2.045937
56,2.111971
57,1.892952
58,1.895878
59,1.857703
60,1.788865
61,1.71264
62,2.498537
63,2.457201
64,2.478334
65,1.442688
66,2.529727
67,2.549729
68,1.339162
69,1.343333
70,1.351984
71,1.362015
72,1.372156
73,3.172595
74,3.289598
75,3.372196
76,3.442703
77,3.539288
78,3.540052
79,3.50857
80,1.388861
81,1.621013
82,1.641557
83,1.419036
84,1.450484
85,1.489539
86,1.531385
87,1.575438
88,1.620647
89,1.667401
90,2.084996
91,2.099514
92,2.074344
93,2.057534
94,2.047076
95,1.677426
96,1.664285
97,1.658525
98,1.50902
99,1.643934
100,1.634162
101,2.688668
102,2.600547
103,2.541857
104,3.519219
105,2.540554
106,2.562112
107,1.587924
108,2.021833
109,2.011019
110,2.006471
111,2.009663
112,1.602164
113,1.606277
114,2.996572
115,3.164854
116,1.588166
117,1.575017
118,1.560791
119,1.546369
120,1.532059
121,1.520553
122,1.508031
123,1.493756
124,1.477099
125,1.49012
126,1.506369
127,1.521145
128,1.489462
129,1.458013
130,1.644952
131,1.630166
132,1.626677
133,1.63017
134,1.640618
135,1.598685
136,1.608513
137,1.617257
138,1.623713
139,1.629463
140,1.635067
141,1.61867
142,1.613687
143,1.605416
144,1.593683
145,3.064312
146,3.242362
147,3.237134
148,3.189721
149,3.090545
150,3.026499
151,3.047992
152,2.992523
153,2.97882
154,2.885086
155,1.65412
156,1.785809
157,1.774711
158,1.767236
159,1.76428
160,1.765306
161,1.669707
162,1.669437
163,1.667747
164,3.311314
165,3.249745
166,3.199023
167,3.255765
168,3.181343
169,2.922749
170,1.561774
171,1.617896
172,1.556465
173,1.579037
174,1.565755
175,2.183949
176,2.721835
177,1.435967
178,1.417644
179,1.40994
180,1.429718
181,1.375243
182,1.378126
183,1.382027
184,1.387066
185,1.393849
186,1.401966
187,1.411513
188,1.421633
189,1.432119
190,1.439152
191,2.027725
192,2.021324
193,2.046818
194,2.100192
195,1.427531
196,1.421946
197,1.416204
198,1.431616
199,1.429646
200,1.402636
201,1.398298
202,1.392605
203,2.477748
204,2.850997
205,2.761398
206,2.910441
207,2.673746
208,2.487675
209,2.399498
210,1.342186
211,1.290632
212,1.275893
213,1.262949
214,1.255583
215,1.262798
216,1.328384
217,1.360004
218,1.392058
219,1.421534
220,1.44312
221,1.463071
222,1.484087
223,1.506359
224,1.528849
225,1.552518
226,1.57699
227,1.597887
228,1.613996
229,1.744431
230,1.728893
231,1.65787
232,1.610448
233,1.575764
234,1.499556
235,1.60166
236,1.603026
237,1.606816
238,1.612202
239,1.618413
240,1.624466
241,1.622883
242,1.278007
243,1.268028
244,1.504302
245,1.466546
246,1.249894
247,1.248117
248,1.248297
249,1.252085
250,1.305567
251,1.287937
252,1.274705
253,1.26502
254,1.232159
255,1.23282
256,1.516912
257,1.493541
258,1.207842
259,1.20551
260,1.207514
261,1.212957
262,1.222144
263,1.234541
264,1.245423
265,1.402469
266,1.391421
267,1.378749
268,1.253406
269,1.353908
270,1.33999
271,1.360179
272,1.40254
273,2.430131
274,2.441287
275,2.442249
276,2.358805
277,1.443608
278,1.232546
279,1.619325
280,1.185856
281,1.162293
282,1.138701
283,1.11617
284,1.032563
285,1.03235
286,1.03657
287,1.043566
288,1.053851
289,1.066415
290,1.07739
291,1.085877
292,1.093257
293,1.100908
294,1.110806
295,1.114649
296,1.145507
297,1.159255
298,1.168104
299,1.167328
300,1.151547
301,1.160643
302,1.168743
303,1.178647
304,1.629252
305,1.643661
306,1.657084
307,3.064594
308,3.068807
309,3.064662
310,1.686241
311,1.172941
312,1.166674
313,1.158103
314,1.147929
315,1.217084
316,1.20689
317,1.19548
318,1.113809
319,1.110727
320,1.164946
321,1.163497
322,1.167022
323,1.150832
324,1.173041
325,1.998379
326,1.959857
327,1.923771
328,2.521386
329,2.477902
330,1.849841
331,1.861657
332,1.434176
333,1.419631
334,1.304484
335,1.298088
336,1.292441
337,1.285229
338,1.278291
339,1.313019
340,1.301671
341,1.294328
342,1.272465
343,1.283453
344,1.297477
345,1.316861
346,1.32795
347,1.336795
348,1.344545
349,1.34999
350,1.355531
351,1.361552
352,1.368308
353,1.375424
354,1.380994
355,1.383365
356,1.383454
357,2.295751
358,1.376385
359,1.371186
360,1.366495
361,1.370822
362,1.374503
363,1.377194
364,1.378613
365,1.376614
366,1.373091
367,1.369804
368,1.366161
369,1.362313
370,1.358613
371,1.354727
372,1.351046
373,1.342868
374,1.428022
375,1.333247
376,1.329701
377,1.327035
378,1.3253
379,1.324212
380,1.32261
381,1.32044
382,1.318554
383,1.316858
384,1.315513
385,1.308823
386,1.302441
387,1.29637
388,1.402205
389,1.40768
390,1.423026
391,1.44652
392,1.461256
393,1.362865
394,1.378616
395,1.389829
396,1.395066
