"index","year","month","lag","raw_value","scaled_value","impacted_functional_group"
"pdsi",1985,1,0,-2.194,0.385029354207436,"phytoplankton"
"pdsi",1985,2,0,-2.172,0.390410958904109,"phytoplankton"
"pdsi",1985,3,0,-2.602,0.285225048923679,"phytoplankton"
"pdsi",1985,4,0,-3.428,0.0831702544031311,"phytoplankton"
"pdsi",1985,5,0,-0.984,0.681017612524462,"phytoplankton"
"pdsi",1985,6,0,-0.774,0.73238747553816,"phytoplankton"
"pdsi",1985,7,0,0.436,1.02837573385519,"phytoplankton"
"pdsi",1985,8,0,1.334,1.24804305283757,"phytoplankton"
"pdsi",1985,9,0,1.3,1.23972602739726,"phytoplankton"
"pdsi",1985,10,0,1.032,1.17416829745597,"phytoplankton"
"pdsi",1985,11,0,2.066,1.42710371819961,"phytoplankton"
"pdsi",1985,12,0,-0.728,0.743639921722113,"phytoplankton"
"pdsi",1986,1,0,-0.504,0.798434442270059,"phytoplankton"
"pdsi",1986,2,0,-0.384,0.827788649706458,"phytoplankton"
"pdsi",1986,3,0,-0.896,0.702544031311155,"phytoplankton"
"pdsi",1986,4,0,-1.602,0.529843444227006,"phytoplankton"
"pdsi",1986,5,0,-2.19,0.38600782778865,"phytoplankton"
"pdsi",1986,6,0,-0.97,0.684442270058708,"phytoplankton"
"pdsi",1986,7,0,-0.612,0.772015655577299,"phytoplankton"
"pdsi",1986,8,0,-0.246,0.861545988258317,"phytoplankton"
"pdsi",1986,9,0,-1.132,0.644814090019569,"phytoplankton"
"pdsi",1986,10,0,-1.388,0.582191780821918,"phytoplankton"
"pdsi",1986,11,0,-0.572,0.781800391389432,"phytoplankton"
"pdsi",1986,12,0,0.976,1.16046966731898,"phytoplankton"
"pdsi",1987,1,0,1.572,1.30626223091977,"phytoplankton"
"pdsi",1987,2,0,0.248,0.98238747553816,"phytoplankton"
"pdsi",1987,3,0,0.25,0.982876712328767,"phytoplankton"
"pdsi",1987,4,0,1.604,1.31409001956947,"phytoplankton"
"pdsi",1987,5,0,-0.862,0.710861056751468,"phytoplankton"
"pdsi",1987,6,0,-1.17,0.635518590998043,"phytoplankton"
"pdsi",1987,7,0,-1.906,0.455479452054794,"phytoplankton"
