EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:32 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,"PredationMortality of striped bass 2-5"

year\group,"striped bass 6+",
1985,0.001009504
1986,0.001017298
1987,0.001045474
1988,0.001162775
1989,0.001038358
1990,0.0009754137
1991,0.001282397
1992,0.00138307
1993,0.001270633
1994,0.001433591
1995,0.001548699
1996,0.001443477
1997,0.001482511
1998,0.00160428
1999,0.001710398
2000,0.001677802
2001,0.001697296
2002,0.001759857
2003,0.00167587
2004,0.001653645
2005,0.001705829
2006,0.001702833
2007,0.001694627
2008,0.001734474
2009,0.001670943
2010,0.001661742
2011,0.001723
2012,0.001738664
2013,0.001773585
2014,0.001745002
2015,0.001766
2016,0.001775708
2017,0.001759261
