EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,"PredationMortality of striped bass 2-5"

timestep\group,"striped bass 6+",
1,0.0009236399
2,0.0009466496
3,0.0009771731
4,0.00101386
5,0.001047874
6,0.001074011
7,0.001080573
8,0.001064221
9,0.001038043
10,0.001009912
11,0.0009771899
12,0.0009609021
13,0.0009517603
14,0.0009520178
15,0.0009600722
16,0.0009753735
17,0.0009973223
18,0.001019101
19,0.001037695
20,0.001049007
21,0.001058628
22,0.001067859
23,0.001073027
24,0.001065715
25,0.001046572
26,0.001031675
27,0.001018113
28,0.00100141
29,0.000998016
30,0.001002284
31,0.001017807
32,0.001041246
33,0.001065372
34,0.001088432
35,0.001108616
36,0.001126148
37,0.001142572
38,0.001151276
39,0.001158515
40,0.001165191
41,0.001170207
42,0.001177799
43,0.001175191
44,0.001171318
45,0.001167346
46,0.001165545
47,0.001156804
48,0.001151535
49,0.00115028
50,0.001152389
51,0.001152768
52,0.001142424
53,0.001117448
54,0.00108053
55,0.001036856
56,0.0009928975
57,0.0009530136
58,0.0009166829
59,0.0008887809
60,0.0008762295
61,0.0008739836
62,0.0008821083
63,0.0008987385
64,0.0009189483
65,0.0009374171
66,0.0009597312
67,0.0009830556
68,0.001005394
69,0.001029187
70,0.001048294
71,0.001072163
72,0.001095943
73,0.001122241
74,0.001152245
75,0.001182622
76,0.001213571
77,0.001245204
78,0.001279311
79,0.001315282
80,0.001345387
81,0.001365075
82,0.00137894
83,0.001390114
84,0.001398775
85,0.001406789
86,0.00141415
87,0.001420836
88,0.001427143
89,0.001433008
90,0.001431296
91,0.001417903
92,0.00139288
93,0.001361222
94,0.001329029
95,0.001296639
96,0.00126594
97,0.001241534
98,0.00122298
99,0.001206865
100,0.001194276
101,0.001199129
102,0.001215314
103,0.001243452
104,0.001279701
105,0.001316027
106,0.001350516
107,0.001379258
108,0.001398538
109,0.001407356
110,0.001408674
111,0.00140218
112,0.001402511
113,0.001406692
114,0.00141729
115,0.001430865
116,0.001443548
117,0.001453991
118,0.001465083
119,0.001476541
120,0.001488367
121,0.00149993
122,0.001510062
123,0.001520418
124,0.00153152
125,0.001542039
126,0.001551146
127,0.001559999
128,0.001569835
129,0.001580694
130,0.001585069
131,0.001574752
132,0.001558921
133,0.00153613
134,0.001512778
135,0.001491063
136,0.001471389
137,0.001454815
138,0.001441941
139,0.001429754
140,0.001420003
141,0.001409331
142,0.001396894
143,0.001385034
144,0.00137259
145,0.00137013
146,0.001377685
147,0.001393109
148,0.001414056
149,0.001438282
150,0.001464902
151,0.001492613
152,0.001519863
153,0.00154643
154,0.001572163
155,0.001593041
156,0.001607853
157,0.00161567
158,0.001615626
159,0.001610424
160,0.00160248
161,0.001593594
162,0.001582582
163,0.001579262
164,0.001582321
165,0.001592604
166,0.001607323
167,0.001625102
168,0.001644365
169,0.001662225
170,0.001676509
171,0.00168693
172,0.001696306
173,0.00170505
174,0.001714567
175,0.001724697
176,0.00173509
177,0.001742058
178,0.001735803
179,0.001727737
180,0.001717804
181,0.001708512
182,0.001701141
183,0.001695719
184,0.001690791
185,0.001686541
186,0.001681563
187,0.001674912
188,0.001667244
189,0.00165888
190,0.00165512
191,0.00165489
192,0.001658314
193,0.001665301
194,0.001673904
195,0.001681703
196,0.001689664
197,0.00169624
198,0.001700824
199,0.001703348
200,0.001704801
201,0.001706605
202,0.00170972
203,0.001714594
204,0.001720851
205,0.001728092
206,0.001736086
207,0.001744008
208,0.001751844
209,0.001759111
210,0.001765542
211,0.001770851
212,0.001775422
213,0.001778614
214,0.001777646
215,0.001771082
216,0.001759988
217,0.001746712
218,0.001731975
219,0.001717671
220,0.001704235
221,0.001691469
222,0.001678382
223,0.001665931
224,0.00165435
225,0.001643032
226,0.001632156
227,0.001624876
228,0.001619656
229,0.001619092
230,0.00162244
231,0.001629592
232,0.001636828
233,0.001645529
234,0.001654437
235,0.001662764
236,0.001669504
237,0.001673193
238,0.001675606
239,0.001676639
240,0.001678111
241,0.001679527
242,0.001682729
243,0.001686576
244,0.001690923
245,0.001695283
246,0.001701134
247,0.00170779
248,0.001715701
249,0.001724705
250,0.00172998
251,0.001729893
252,0.001725703
253,0.001719306
254,0.001712677
255,0.001709046
256,0.00170862
257,0.001710285
258,0.001709551
259,0.001706931
260,0.001703124
261,0.001698472
262,0.001692359
263,0.001684672
264,0.00167895
265,0.001675068
266,0.001673724
267,0.001674254
268,0.001674761
269,0.001678062
270,0.001682865
271,0.001689395
272,0.001697564
273,0.001707053
274,0.001717322
275,0.001727865
276,0.001737581
277,0.001746409
278,0.00175281
279,0.001754961
280,0.001753851
281,0.001750188
282,0.00174497
283,0.001738374
284,0.00173128
285,0.001722955
286,0.001714455
287,0.001706056
288,0.001697375
289,0.001690491
290,0.001684795
291,0.001680801
292,0.001678185
293,0.001676537
294,0.001674787
295,0.001671801
296,0.001667885
297,0.00166362
298,0.001658758
299,0.001654274
300,0.001649387
301,0.001644452
302,0.001640975
303,0.001636595
304,0.001636868
305,0.001639801
306,0.001646251
307,0.001655429
308,0.001666328
309,0.001678132
310,0.001689186
311,0.001699199
312,0.001707683
313,0.001715076
314,0.001721034
315,0.001725392
316,0.001728132
317,0.001729711
318,0.001730346
319,0.001731032
320,0.001729828
321,0.001725918
322,0.001718798
323,0.00171278
324,0.001707948
325,0.001706521
326,0.001708662
327,0.001713928
328,0.001721026
329,0.001728697
330,0.001736316
331,0.001743569
332,0.001750341
333,0.001756559
334,0.001761541
335,0.001766328
336,0.001770477
337,0.001774115
338,0.001776897
339,0.001779235
340,0.001781417
341,0.001782713
342,0.001781428
343,0.001778712
344,0.001774448
345,0.001769789
346,0.001765382
347,0.001761398
348,0.001757483
349,0.001753899
350,0.001750165
351,0.001746486
352,0.001742883
353,0.001739864
354,0.001738563
355,0.001738388
356,0.001739725
357,0.001742521
358,0.001745874
359,0.001749353
360,0.0017523
361,0.001754823
362,0.001757091
363,0.001759113
364,0.001761134
365,0.001763909
366,0.001766001
367,0.001767805
368,0.001769642
369,0.001771255
370,0.001772524
371,0.001773907
372,0.001774796
373,0.001775696
374,0.001775236
375,0.001775
376,0.001775016
377,0.001774709
378,0.001774388
379,0.001774086
380,0.001774637
381,0.001775663
382,0.001776617
383,0.001778041
384,0.001779407
385,0.00178056
386,0.001782137
387,0.001783426
388,0.001783115
389,0.001778594
390,0.001771529
391,0.001761524
392,0.001750863
393,0.001741408
394,0.001732041
395,0.001725171
396,0.001720764
