EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ShannonDiversity

timestep,value
1,1.463068
2,1.459267
3,1.444869
4,1.402032
5,1.450075
6,1.48072
7,1.477214
8,1.445133
9,1.423234
10,1.410028
11,1.39087
12,1.395337
13,1.399546
14,1.405253
15,1.408347
16,1.405632
17,1.393664
18,1.408347
19,1.419064
20,1.418888
21,1.409177
22,1.399061
23,1.39547
24,1.378573
25,1.350161
26,1.3399
27,1.331291
28,1.319614
29,1.314868
30,1.310817
31,1.301323
32,1.284469
33,1.300656
34,1.313292
35,1.316333
36,1.314335
37,1.311066
38,1.314231
39,1.309556
40,1.301996
41,1.298698
42,1.285437
43,1.295726
44,1.290686
45,1.28296
46,1.274849
47,1.278044
48,1.271146
49,1.258707
50,1.263234
51,1.26393
52,1.258855
53,1.239163
54,1.217938
55,1.200074
56,1.187731
57,1.180107
58,1.174898
59,1.172884
60,1.174027
61,1.179679
62,1.187511
63,1.194968
64,1.208079
65,1.226183
66,1.23521
67,1.248464
68,1.267461
69,1.282292
70,1.302619
71,1.312272
72,1.329244
73,1.343776
74,1.352446
75,1.372341
76,1.386168
77,1.395338
78,1.396102
79,1.392084
80,1.426788
81,1.446436
82,1.448119
83,1.447811
84,1.44828
85,1.447145
86,1.4441
87,1.443993
88,1.441636
89,1.439006
90,1.44041
91,1.420232
92,1.392959
93,1.372257
94,1.361239
95,1.352268
96,1.343616
97,1.339352
98,1.33807
99,1.334335
100,1.328933
101,1.330526
102,1.334628
103,1.335868
104,1.327078
105,1.356998
106,1.378729
107,1.399228
108,1.407026
109,1.395133
110,1.380585
111,1.359391
112,1.35922
113,1.360229
114,1.362548
115,1.371355
116,1.384672
117,1.390225
118,1.389792
119,1.391955
120,1.396142
121,1.403452
122,1.406984
123,1.404289
124,1.396418
125,1.40107
126,1.405722
127,1.398149
128,1.375427
129,1.350471
130,1.374788
131,1.339464
132,1.326222
133,1.304071
134,1.293313
135,1.288559
136,1.284885
137,1.282167
138,1.281027
139,1.279258
140,1.276795
141,1.274127
142,1.269606
143,1.267501
144,1.268101
145,1.274497
146,1.283535
147,1.304479
148,1.331592
149,1.356485
150,1.376411
151,1.39418
152,1.414336
153,1.424725
154,1.426525
155,1.46918
156,1.474946
157,1.465205
158,1.445051
159,1.425553
160,1.412644
161,1.405829
162,1.397424
163,1.407715
164,1.418365
165,1.427273
166,1.437325
167,1.433713
168,1.412382
169,1.452036
170,1.478766
171,1.486997
172,1.477797
173,1.465908
174,1.437528
175,1.385467
176,1.314652
177,1.38158
178,1.356379
179,1.356122
180,1.351615
181,1.346629
182,1.344509
183,1.344128
184,1.342566
185,1.338066
186,1.331212
187,1.319344
188,1.307819
189,1.298343
190,1.295913
191,1.297658
192,1.305592
193,1.311797
194,1.316903
195,1.348209
196,1.349587
197,1.358098
198,1.361668
199,1.356183
200,1.350249
201,1.346093
202,1.341874
203,1.327115
204,1.297189
205,1.249805
206,1.178635
207,1.115709
208,1.053901
209,1.093438
210,1.204491
211,1.257886
212,1.270429
213,1.302812
214,1.27363
215,1.256009
216,1.236844
217,1.230695
218,1.219611
219,1.212302
220,1.207511
221,1.203475
222,1.197595
223,1.191162
224,1.186128
225,1.181884
226,1.177292
227,1.173412
228,1.17469
229,1.173152
230,1.174609
231,1.176375
232,1.197356
233,1.202804
234,1.208929
235,1.220616
236,1.232239
237,1.239187
238,1.237908
239,1.238361
240,1.238314
241,1.244057
242,1.246952
243,1.256851
244,1.267688
245,1.276967
246,1.276196
247,1.280407
248,1.280052
249,1.268604
250,1.330943
251,1.32473
252,1.310734
253,1.29852
254,1.291383
255,1.288119
256,1.289126
257,1.298508
258,1.308578
259,1.299721
260,1.293153
261,1.289152
262,1.28494
263,1.279836
264,1.279797
265,1.286012
266,1.295396
267,1.309122
268,1.32605
269,1.328656
270,1.336383
271,1.347794
272,1.351383
273,1.341778
274,1.329907
275,1.300557
276,1.304298
277,1.295579
278,1.412803
279,1.420737
280,1.41043
281,1.396143
282,1.383266
283,1.369283
284,1.359967
285,1.346449
286,1.336861
287,1.330775
288,1.323875
289,1.319101
290,1.317414
291,1.320088
292,1.32555
293,1.327678
294,1.324195
295,1.308016
296,1.290945
297,1.279939
298,1.271583
299,1.266379
300,1.262873
301,1.262587
302,1.265409
303,1.268881
304,1.273012
305,1.283466
306,1.297665
307,1.31153
308,1.325081
309,1.337878
310,1.385111
311,1.409871
312,1.428686
313,1.439143
314,1.446825
315,1.45028
316,1.444532
317,1.437571
318,1.430381
319,1.427296
320,1.416024
321,1.39381
322,1.370977
323,1.37192
324,1.376549
325,1.383762
326,1.392129
327,1.395126
328,1.395184
329,1.408429
330,1.424364
331,1.436788
332,1.452395
333,1.468714
334,1.470038
335,1.466637
336,1.458519
337,1.449885
338,1.439912
339,1.431936
340,1.42673
341,1.420992
342,1.38296
343,1.36634
344,1.354575
345,1.349342
346,1.348871
347,1.35132
348,1.355585
349,1.35727
350,1.357624
351,1.354379
352,1.349677
353,1.346523
354,1.34736
355,1.353256
356,1.359698
357,1.364662
358,1.377787
359,1.387356
360,1.393428
361,1.395508
362,1.396892
363,1.399595
364,1.402394
365,1.399445
366,1.413885
367,1.417145
368,1.417467
369,1.418794
370,1.420107
371,1.41819
372,1.419085
373,1.418126
374,1.416362
375,1.412816
376,1.408983
377,1.409006
378,1.406226
379,1.402598
380,1.39309
381,1.382918
382,1.38578
383,1.373393
384,1.364182
385,1.365233
386,1.350562
387,1.340563
388,1.358005
389,1.328073
390,1.321301
391,1.306805
392,1.29974
393,1.296937
394,1.293757
395,1.290312
396,1.286034
