EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TL

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,3.364016,3.590863,3.854054,2.58757,2.756536,2.756536,2.928311,2.928311,2.928311,2.910729,3.501522,4.00244,3.957663,3.648684,3.735282,3.416355,3.416555,3.095307,2.21389,2.445098,1,1
1986,3.299234,3.547111,3.864555,2.530372,2.766146,2.766146,2.937643,2.937643,2.937643,2.872835,3.49615,3.959553,3.975083,3.578161,3.646771,3.404068,3.404047,3.102287,2.202874,2.434888,1,1
1987,3.260813,3.495782,3.872467,2.539139,2.77774,2.77774,2.948815,2.948815,2.948815,2.820647,3.487806,3.840615,4.009248,3.483899,3.528874,3.401151,3.400676,3.108005,2.193219,2.436531,1,1
1988,3.209354,3.409055,3.77083,2.436749,2.650411,2.650411,2.821637,2.821637,2.821637,2.637106,3.458793,3.600289,3.961169,3.338187,3.382848,3.339568,3.33945,2.998094,2.172678,2.377322,1,1
1989,3.212402,3.317753,3.702794,2.470961,2.686058,2.686058,2.848381,2.848381,2.848381,2.62357,3.376601,3.363332,3.804392,3.290673,3.281254,3.311991,3.311228,2.994142,2.133716,2.337091,1,1
1990,3.365411,3.538816,3.923548,2.637906,2.83895,2.83895,3.00004,3.00004,3.00004,2.756361,3.487599,3.883212,4.113395,3.576612,3.577924,3.399071,3.399634,3.140443,2.204928,2.416214,1,1
1991,3.482205,3.731975,4.074793,2.627093,2.781398,2.781398,2.952886,2.952886,2.952886,2.800997,3.69451,4.088957,4.168293,3.844039,3.885156,3.436745,3.437317,3.124129,2.246808,2.442325,1,1
1992,3.27989,3.61691,4.081336,2.464724,2.664623,2.664623,2.830884,2.830884,2.830884,2.83038,3.646013,3.88738,4.083275,3.502809,3.620595,3.337439,3.333782,2.992912,2.161703,2.349861,1,1
1993,3.326988,3.81334,4.286828,2.601496,2.838484,2.838484,3.006226,3.006226,3.006226,3.113114,3.772014,4.03607,4.239744,3.664127,3.71071,3.436186,3.433902,3.157516,2.213993,2.456712,1,1
1994,3.268736,3.891323,4.258581,2.546284,2.756633,2.756633,2.923643,2.923643,2.923643,3.114701,3.789024,3.954915,4.20217,3.55112,3.627303,3.380219,3.380581,3.07774,2.184185,2.398383,1,1
1995,3.232384,3.957698,4.267292,2.482187,2.683558,2.683558,2.855867,2.855867,2.855867,3.053272,3.84707,3.868309,4.189609,3.431131,3.513776,3.373128,3.37213,3.032599,2.196766,2.406294,1,1
1996,3.173385,3.903149,4.219529,2.528013,2.74558,2.74558,2.9053,2.9053,2.9053,2.915726,3.62164,3.610234,4.079494,3.345787,3.35041,3.333779,3.330166,3.041545,2.142079,2.348461,1,1
1997,3.378847,4.070058,4.314072,2.712574,2.861675,2.861675,3.030006,3.030006,3.030006,3.084226,3.888971,4.066767,4.285758,3.725694,3.751755,3.458261,3.460469,3.188502,2.255306,2.476669,1,1
1998,3.326523,4.094505,4.311132,2.606437,2.822278,2.822278,2.989058,2.989058,2.989058,3.141727,3.887266,4.025797,4.259711,3.656417,3.694064,3.425425,3.422724,3.137619,2.203607,2.445782,1,1
1999,3.282738,4.11757,4.350665,2.501735,2.701119,2.701119,2.875773,2.875773,2.875773,3.111419,3.978517,3.948565,4.241274,3.524781,3.596755,3.407744,3.40864,3.059385,2.230599,2.444787,1,1
2000,3.18049,4.03985,4.320593,2.546588,2.776047,2.776047,2.940225,2.940225,2.940225,3.177632,3.755504,3.728624,4.140853,3.377757,3.366504,3.370908,3.366755,3.084047,2.158598,2.391965,1,1
2001,3.227718,4.061353,4.35211,2.588371,2.799878,2.799878,2.970704,2.970704,2.970704,3.25389,3.855321,3.78178,4.2143,3.411539,3.40573,3.411859,3.413729,3.128368,2.205568,2.446512,1,1
2002,3.355069,4.186701,4.508739,2.567391,2.817633,2.817633,3.0068,3.0068,3.0068,3.37623,4.022453,3.969097,4.337114,3.46911,3.479738,3.558903,3.556828,3.219502,2.345127,2.66558,1,1
2003,3.157542,3.876069,4.268099,2.520993,2.752351,2.752351,2.911927,2.911927,2.911927,3.187512,3.551824,3.422051,3.950108,3.323191,3.287518,3.334873,3.331079,3.046558,2.134462,2.351984,1,1
2004,3.252445,3.949956,4.325922,2.585615,2.829192,2.829192,2.990501,2.990501,2.990501,3.273038,3.675955,3.732264,4.178229,3.453303,3.442986,3.391184,3.39251,3.131945,2.206844,2.411447,1,1
2005,3.324903,4.059116,4.338583,2.560835,2.807676,2.807676,2.973344,2.973344,2.973344,3.28008,3.823606,4.017228,4.243095,3.666525,3.689828,3.408619,3.407881,3.125015,2.220612,2.423846,1,1
2006,3.292668,4.040421,4.294516,2.533393,2.767718,2.767718,2.929008,2.929008,2.929008,3.232126,3.771336,3.973282,4.189626,3.605196,3.643847,3.362091,3.35942,3.069887,2.170578,2.370357,1,1
2007,3.558454,4.248217,4.465577,2.683282,2.949405,2.949404,3.126534,3.126534,3.126534,3.442072,4.057188,4.258742,4.393714,3.990309,4.014214,3.553466,3.552263,3.286626,2.295998,2.576459,1,1
2008,3.227236,4.046325,4.290281,2.441582,2.652066,2.652066,2.816276,2.816276,2.816276,3.168655,3.84023,3.898376,4.134429,3.45165,3.52815,3.340284,3.340224,2.985334,2.175502,2.350631,1,1
2009,3.189992,4.024347,4.305241,2.530244,2.761826,2.761826,2.924064,2.924064,2.924064,3.232837,3.720981,3.895514,4.082878,3.409749,3.429922,3.35452,3.352268,3.065334,2.161058,2.371647,1,1
2010,3.380946,4.145962,4.38754,2.656701,2.885315,2.885315,3.052006,3.052006,3.052006,3.351283,3.874395,4.121018,4.266633,3.773814,3.784357,3.466106,3.465834,3.202547,2.247408,2.482191,1,1
2011,3.247477,4.051653,4.264621,2.494891,2.696079,2.696079,2.859665,2.859665,2.859665,3.185913,3.81221,3.923833,4.142791,3.520601,3.577229,3.335943,3.336167,3.013105,2.167134,2.345179,1,1
2012,3.307724,4.191325,4.407169,2.596498,2.817177,2.817177,2.991395,2.991395,2.991395,3.318472,3.999003,4.077138,4.290797,3.620535,3.670508,3.459407,3.459347,3.163418,2.246794,2.491816,1,1
2013,3.166008,4.005324,4.280806,2.480514,2.696409,2.696409,2.86204,2.86204,2.86204,3.172483,3.742122,3.781697,4.065056,3.33475,3.344818,3.337463,3.334915,3.015914,2.148896,2.35994,1,1
