EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TL

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,3.430147,3.669385,3.943489,2.681335,2.859069,2.859069,3.031151,3.031151,3.031151,3.031108,3.522934,4.120493,4.060809,3.779181,3.84244,3.460996,3.461017,3.189226,2.217522,2.486341,1,1
2,3.477434,3.729727,4.020348,2.742667,2.929637,2.929637,3.108349,3.108349,3.108349,3.105154,3.58947,4.204396,4.142611,3.858586,3.927041,3.530746,3.530747,3.272207,2.256101,2.569421,1,1
3,3.531409,3.800213,4.108235,2.820704,3.009191,3.009191,3.197455,3.197455,3.197455,3.190709,3.667803,4.299017,4.235749,3.942615,4.022012,3.614601,3.614709,3.367497,2.305529,2.674715,1,1
4,3.624858,3.926275,4.26788,2.976989,3.165138,3.165138,3.37148,3.37148,3.37148,3.360383,3.796333,4.46954,4.40273,4.079286,4.182778,3.768159,3.768515,3.543457,2.387884,2.879658,1,1
5,3.505189,3.744399,4.01054,2.698738,2.851182,2.851182,3.042942,3.042942,3.042942,3.028552,3.666157,4.186655,4.139091,3.845593,3.949722,3.547199,3.548088,3.247328,2.345788,2.590995,1,1
6,3.368158,3.566581,3.788481,2.477207,2.609384,2.609384,2.781569,2.781569,2.781568,2.764647,3.53253,3.939638,3.908952,3.627661,3.731936,3.371274,3.372685,2.993881,2.253676,2.377301,1,1
7,3.249587,3.429015,3.629062,2.354134,2.47596,2.47596,2.630098,2.630098,2.630098,2.611363,3.406556,3.756862,3.734234,3.453517,3.554392,3.251029,3.252263,2.813627,2.159891,2.25042,1,1
8,3.212055,3.399305,3.607797,2.371511,2.503196,2.503196,2.657288,2.657288,2.657288,2.635689,3.347097,3.735419,3.700214,3.40074,3.497416,3.232411,3.232882,2.815735,2.122049,2.23795,1,1
9,3.218905,3.419452,3.648852,2.426814,2.580344,2.580344,2.738724,2.738724,2.738724,2.713881,3.345294,3.773019,3.730613,3.408305,3.498874,3.2591,3.259097,2.88778,2.117796,2.269009,1,1
10,3.23478,3.445371,3.698191,2.469784,2.648713,2.648713,2.809593,2.809593,2.809592,2.781588,3.362503,3.812627,3.772429,3.432619,3.516625,3.292214,3.291775,2.95533,2.124233,2.304987,1,1
11,3.236181,3.448014,3.711358,2.477499,2.670396,2.670395,2.830671,2.830671,2.830671,2.799724,3.359574,3.813436,3.779253,3.43589,3.509252,3.297868,3.297141,2.972169,2.125451,2.310109,1,1
12,3.279495,3.512625,3.81442,2.553457,2.776217,2.776217,2.940409,2.940409,2.940409,2.905957,3.422011,3.918182,3.885271,3.520214,3.590903,3.370667,3.369737,3.085455,2.150766,2.390268,1,1
13,3.301964,3.548292,3.867274,2.582026,2.821939,2.821939,2.98836,2.98836,2.98836,2.950206,3.458455,3.976739,3.942899,3.574962,3.640918,3.407554,3.406448,3.13572,2.171491,2.431677,1,1
