EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TLC

year,value
1985,3.603909
1986,3.677912
1987,3.637567
1988,3.554654
1989,3.363097
1990,3.216649
1991,3.220001
1992,2.963497
1993,3.106155
1994,3.151469
1995,3.14476
1996,2.997005
1997,3.216445
1998,3.029648
1999,2.990793
2000,3.060978
2001,3.166011
2002,3.154532
2003,3.130125
2004,3.283278
2005,3.345599
2006,3.308123
2007,3.613568
2008,3.348628
2009,3.317353
2010,3.48335
2011,3.250504
2012,3.252923
2013,3.251529
2014,3.258545
2015,3.286458
2016,3.262749
2017,3.207061
