EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TLC

timestep,value
1,3.679159
2,3.755066
3,3.846305
4,4.011714
5,3.774431
6,3.574187
7,3.425685
8,3.393632
9,3.412266
10,3.437497
11,3.429728
12,3.507231
13,3.691386
14,3.703248
15,3.727055
16,3.773895
17,3.840957
18,3.765466
19,3.672025
20,3.596866
21,3.617146
22,3.641323
23,3.598883
24,3.506694
25,3.497183
26,3.538297
27,3.561097
28,3.531072
29,3.603234
30,3.660104
31,3.734582
32,3.815429
33,3.751859
34,3.682456
35,3.646173
36,3.629315
37,3.614657
38,3.57562
39,3.577922
40,3.591105
41,3.57727
42,3.608153
43,3.493089
44,3.514311
45,3.541491
46,3.560747
47,3.481601
48,3.519879
49,3.480738
50,3.440571
51,3.410535
52,3.347752
53,3.310965
54,3.304209
55,3.308916
56,3.321217
57,3.334926
58,3.340319
59,3.357313
60,3.399712
61,3.173679
62,3.202046
63,3.23564
64,3.241736
65,3.217336
66,3.241638
67,3.248528
68,3.2223
69,3.221622
70,3.180346
71,3.21206
72,3.20286
73,3.255307
74,3.297754
75,3.286489
76,3.29946
77,3.314618
78,3.335134
79,3.344239
80,3.182122
81,3.067985
82,3.08092
83,3.092212
84,3.08378
85,3.011563
86,3.028194
87,3.020411
88,3.031309
89,3.034717
90,2.922142
91,2.867399
92,2.865423
93,2.89728
94,2.941061
95,2.965623
96,2.976849
97,2.928511
98,2.957261
99,2.947
100,2.950927
101,3.059997
102,3.153719
103,3.253502
104,3.372865
105,3.288651
106,3.207796
107,3.118291
108,3.03534
109,2.99577
110,3.024569
111,3.02473
112,3.12602
113,3.185009
114,3.233248
115,3.232404
116,3.184011
117,3.156658
118,3.200147
119,3.225281
120,3.229776
121,3.217968
122,3.195099
123,3.209235
124,3.236037
125,3.187541
126,3.1229
127,3.142135
128,3.226368
129,3.283102
130,2.95276
131,2.954682
132,3.009297
133,2.91673
134,2.951637
135,2.987364
136,2.992838
137,2.998578
138,3.016376
139,3.010223
140,3.020509
141,3.008516
142,3.003163
143,3.02392
144,3.034212
145,3.139448
146,3.231221
147,3.26791
148,3.27158
149,3.272461
150,3.282492
151,3.282498
152,3.254565
153,3.255492
154,3.267119
155,3.063051
156,3.009506
157,2.919369
158,2.907965
159,2.911921
160,2.92328
161,2.925235
162,2.901832
163,2.984835
164,3.048544
165,3.114716
166,3.152252
167,3.224495
168,3.341332
169,3.090839
170,2.91432
171,2.826183
172,2.908045
173,2.969356
174,3.084101
175,3.240554
176,3.425468
177,2.736533
178,2.796913
179,2.911478
180,2.985734
181,2.999521
182,3.032305
183,3.050944
184,3.028114
185,3.030501
186,3.014611
187,2.996707
188,3.01052
189,3.025128
190,3.122569
191,3.192637
192,3.228184
193,3.24483
194,3.273696
195,3.152144
196,3.176185
197,3.138046
198,3.076083
199,3.051925
200,3.057657
201,3.086295
202,3.13689
203,3.235551
204,3.362833
205,3.370965
206,3.606296
207,3.769809
208,3.8762
209,3.390795
210,2.936126
211,2.830397
212,2.860326
213,2.833911
214,2.72412
215,2.798569
216,2.856872
217,3.007505
218,3.030493
219,3.054745
220,3.085055
221,3.10094
222,3.10781
223,3.131271
224,3.156525
225,3.169455
226,3.191084
227,3.247129
228,3.279486
229,3.269293
230,3.330652
231,3.380962
232,3.343686
233,3.351771
234,3.349817
235,3.320687
236,3.268853
237,3.206679
238,3.194272
239,3.184121
240,3.198542
241,3.371043
242,3.389666
243,3.379834
244,3.364441
245,3.352055
246,3.392392
247,3.40896
248,3.430803
249,3.485231
250,3.223554
251,3.171982
252,3.177223
253,3.226929
254,3.262708
255,3.323516
256,3.372238
257,3.37447
258,3.27602
259,3.280659
260,3.300582
261,3.308649
262,3.303034
263,3.307334
264,3.361339
265,3.442505
266,3.47158
267,3.479418
268,3.446589
269,3.514368
270,3.559694
271,3.584797
272,3.631317
273,3.71442
274,3.784908
275,3.893385
276,3.839833
277,3.842105
278,3.436307
279,3.328765
280,3.325512
281,3.328911
282,3.3298
283,3.307325
284,3.296722
285,3.252132
286,3.248903
287,3.254034
288,3.233026
289,3.299251
290,3.340955
291,3.361213
292,3.348827
293,3.333121
294,3.298144
295,3.267227
296,3.277857
297,3.305532
298,3.314635
299,3.330236
300,3.331241
301,3.375123
302,3.380049
303,3.35904
304,3.43659
305,3.494818
306,3.543981
307,3.592259
308,3.63051
309,3.650109
310,3.514463
311,3.442549
312,3.380703
313,3.410694
314,3.38277
315,3.328978
316,3.293714
317,3.280195
318,3.260407
319,3.262353
320,3.192348
321,3.137041
322,3.109544
323,3.161692
324,3.186307
325,3.169353
326,3.234956
327,3.326588
328,3.411546
329,3.409276
330,3.359932
331,3.305086
332,3.23731
333,3.167504
334,3.084877
335,3.152798
336,3.175855
337,3.279398
338,3.276508
339,3.288981
340,3.317829
341,3.275244
342,3.169758
343,3.195176
344,3.208076
345,3.228632
346,3.255835
347,3.273121
348,3.249785
349,3.253104
350,3.225458
351,3.21188
352,3.206368
353,3.217576
354,3.267059
355,3.279559
356,3.296394
357,3.328574
358,3.300371
359,3.274282
360,3.241905
361,3.322845
362,3.336544
363,3.336735
364,3.339947
365,3.391294
366,3.310992
367,3.27745
368,3.27128
369,3.247309
370,3.210529
371,3.211792
372,3.18078
373,3.276313
374,3.221481
375,3.24368
376,3.266621
377,3.231748
378,3.225635
379,3.228215
380,3.282763
381,3.315006
382,3.268042
383,3.295021
384,3.298455
385,3.255881
386,3.285244
387,3.291035
388,3.160848
389,3.076402
390,3.118201
391,3.135526
392,3.170329
393,3.223393
394,3.216037
395,3.253135
396,3.298701
