EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TotalCatch

year,value
1985,0.1355921
1986,0.1523055
1987,0.09880325
1988,0.06637151
1989,0.05409694
1990,0.1609513
1991,0.232025
1992,0.3784865
1993,0.6123931
1994,0.3810739
1995,0.3286349
1996,0.607231
1997,0.6257505
1998,1.261453
1999,0.9097273
2000,0.7178864
2001,0.5746393
2002,0.4282843
2003,0.3588234
2004,0.4064889
2005,0.4479775
2006,0.6034369
2007,0.6221976
2008,0.4919489
2009,0.6370776
2010,0.4741628
2011,0.5509368
2012,0.6995013
2013,0.3702863
2014,0.3599943
2015,0.284719
2016,0.2260219
2017,0.1732861
