EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,TotalCatch

timestep,value
1,0.1576309
2,0.153929
3,0.1486728
4,0.1420726
5,0.1350632
6,0.1286125
7,0.1240269
8,0.1225626
9,0.1238565
10,0.1265591
11,0.1305205
12,0.1335981
13,0.1886298
14,0.18375
15,0.1780342
16,0.1713021
17,0.1634954
18,0.155229
19,0.1472029
20,0.1399931
21,0.1334632
22,0.1272828
23,0.121687
24,0.117597
25,0.1096759
26,0.1082932
27,0.1070749
28,0.106456
29,0.105553
30,0.103718
31,0.1009011
32,0.09713648
33,0.09294955
34,0.08866186
35,0.08451126
36,0.08070784
37,0.08070598
38,0.07715143
39,0.07395416
40,0.07097168
41,0.06825999
42,0.06571074
43,0.06360072
44,0.06197673
45,0.06050971
46,0.05900903
47,0.05781461
48,0.05679337
49,0.04343244
50,0.04285474
51,0.04240581
52,0.04249407
53,0.04377134
54,0.04637202
55,0.05032356
56,0.05532514
57,0.06105335
58,0.06732195
59,0.07389031
60,0.07991849
61,0.1375957
62,0.1404707
63,0.1427725
64,0.1446289
65,0.1462402
66,0.1489813
67,0.1540998
68,0.1624806
69,0.1716422
70,0.1823403
71,0.1938942
72,0.2062694
73,0.1974696
74,0.204172
75,0.2084603
76,0.2118564
77,0.2176901
78,0.2270056
79,0.2358289
80,0.2427168
81,0.249625
82,0.2558263
83,0.2635746
84,0.2700738
85,0.3429032
86,0.3459094
87,0.3393625
88,0.3289788
89,0.3247603
90,0.3357063
91,0.3580177
92,0.3865428
93,0.4106137
94,0.4348639
95,0.4562663
96,0.4779127
97,0.7176979
98,0.7255871
99,0.7350762
100,0.7490134
101,0.7367394
102,0.6933469
103,0.6328411
104,0.5683388
105,0.5138301
106,0.4646424
107,0.4208139
108,0.3907892
109,0.3988413
110,0.3918316
111,0.4008553
112,0.4061612
113,0.4040537
114,0.3968982
115,0.3857413
116,0.3738266
117,0.3700374
118,0.3590068
119,0.3473823
120,0.3382507
121,0.3695023
122,0.3676386
123,0.3651335
124,0.357596
125,0.3493242
126,0.3476684
127,0.3365634
128,0.3102531
129,0.2839086
130,0.273227
131,0.2814652
132,0.3013387
133,0.4365734
134,0.4834682
135,0.521446
136,0.5703006
137,0.6132813
138,0.6374255
139,0.6416787
140,0.6533834
141,0.670244
142,0.6794654
143,0.6847084
144,0.6947966
145,0.6816702
146,0.6688041
147,0.6537618
148,0.64148
149,0.6348553
150,0.6308674
151,0.6273423
152,0.6178032
153,0.6010726
154,0.5845495
155,0.5807256
156,0.5860741
157,0.689494
158,0.7448817
159,0.8333209
160,0.955225
161,1.124007
162,1.34632
163,1.54037
164,1.650091
165,1.658442
166,1.62715
167,1.552071
168,1.416069
169,1.56343
170,1.369727
171,1.219015
172,1.095208
173,0.9713507
174,0.846903
175,0.7310431
176,0.6296033
177,0.5781762
178,0.6039841
179,0.6390253
180,0.6692605
181,0.7635787
182,0.7703376
183,0.7663735
184,0.7553345
185,0.7432607
186,0.7292011
187,0.7236382
188,0.714111
189,0.7097244
190,0.6883613
191,0.6472817
192,0.6034333
193,0.6761742
194,0.6171144
195,0.5759506
196,0.5443014
197,0.5272626
198,0.5273176
199,0.5416483
200,0.5676818
201,0.5872464
202,0.5925573
203,0.5805399
204,0.5578768
205,0.7737682
206,0.6733012
207,0.5827991
208,0.4943241
209,0.4256163
210,0.368053
211,0.3263865
212,0.2984672
213,0.2730606
214,0.2773191
215,0.3048145
216,0.3415011
217,0.3217366
218,0.3436683
219,0.3633131
220,0.3688837
221,0.3711199
222,0.3669438
223,0.3668264
224,0.366707
225,0.3666534
226,0.3628383
227,0.357244
228,0.3499471
229,0.4153995
230,0.3875214
231,0.3701806
232,0.3609817
233,0.3574179
234,0.3594804
235,0.364667
236,0.3819515
237,0.4122671
238,0.4512125
239,0.4904079
240,0.5263793
241,0.3791163
242,0.4006745
243,0.4195261
244,0.4349798
245,0.4482734
246,0.4557492
247,0.4605815
248,0.4675391
249,0.464282
250,0.4672621
251,0.4782049
252,0.4995413
253,0.5585185
254,0.5788603
255,0.5921282
256,0.5909159
257,0.5829786
258,0.582007
259,0.5896271
260,0.6020238
261,0.6159369
262,0.6325049
263,0.650457
264,0.6652858
265,0.6491714
266,0.6581556
267,0.6629801
268,0.6682096
269,0.6669586
270,0.6609722
271,0.6493052
272,0.6315539
273,0.6053902
274,0.5732391
275,0.5378097
276,0.5026246
277,0.441322
278,0.4165427
279,0.4095444
280,0.41684
281,0.4334155
282,0.4553458
283,0.4838117
284,0.5134529
285,0.5469142
286,0.5750573
287,0.5957285
288,0.6154119
289,0.7033991
290,0.6960866
291,0.6765789
292,0.6537294
293,0.6304693
294,0.6109071
295,0.6013514
296,0.600834
297,0.6040016
298,0.6113336
299,0.6214101
300,0.6348299
301,0.4265057
302,0.4437808
303,0.4665236
304,0.4851
305,0.4970913
306,0.5024005
307,0.5008785
308,0.4928807
309,0.4816334
310,0.4711498
311,0.4630264
312,0.4589826
313,0.4266805
314,0.4276546
315,0.434481
316,0.445711
317,0.4657868
318,0.4940649
319,0.5232784
320,0.560833
321,0.6166236
322,0.6858534
323,0.7424808
324,0.7877934
325,0.9771165
326,0.9515822
327,0.903409
328,0.8415422
329,0.7747433
330,0.713024
331,0.6537998
332,0.5947593
333,0.5412968
334,0.5066127
335,0.4789936
336,0.4571358
337,0.3614026
338,0.3547565
339,0.3499799
340,0.3452239
341,0.3419609
342,0.3491305
343,0.3624924
344,0.378687
345,0.3925154
346,0.4006378
347,0.4031824
348,0.4034663
349,0.3823627
350,0.3796348
351,0.3765806
352,0.3748897
353,0.373822
354,0.3698928
355,0.3636066
356,0.3569566
357,0.3487541
358,0.3396077
359,0.3302388
360,0.3235849
361,0.2856661
362,0.2833941
363,0.2817865
364,0.2801579
365,0.276724
366,0.2757405
367,0.2791088
368,0.2844199
369,0.2904589
370,0.2945822
371,0.2934555
372,0.2911334
373,0.2470231
374,0.2452051
375,0.2438866
376,0.2410045
377,0.2378919
378,0.233966
379,0.2310612
380,0.2252104
381,0.2169533
382,0.2084503
383,0.1970316
384,0.1845791
385,0.2010023
386,0.1867364
387,0.1727687
388,0.1621342
389,0.1595055
390,0.161769
391,0.1670082
392,0.1726701
393,0.1753515
394,0.1762736
395,0.1743488
396,0.1698651
