EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

year,fleet,group,value
1985,1,1,2.90517E-06
1985,3,11,0.000694156
1986,1,1,3.072259E-06
1986,3,11,0.0006775942
1987,1,1,2.623527E-06
1987,3,11,0.0006573263
1988,1,1,2.030837E-06
1988,3,11,0.0006223182
1989,1,1,1.529316E-06
1989,3,11,0.0005980293
1990,1,1,1.167441E-06
1990,3,11,0.0006775018
1991,1,1,9.872673E-07
1991,3,11,0.0007200274
1992,1,1,3.276519E-06
1992,3,11,0.0007045667
1993,1,1,7.647603E-06
1993,3,11,0.0007412683
1994,1,1,8.661759E-06
1994,3,11,0.0007726606
1995,1,1,1.047862E-05
1995,3,11,0.0007737465
1996,1,1,1.019993E-05
1996,3,11,0.0007892022
1997,1,1,1.159002E-05
1997,3,11,0.0008880325
1998,1,1,1.129692E-05
1998,3,11,0.0009352579
1999,1,1,1.376688E-05
1999,3,11,0.0009543787
2000,1,1,1.41173E-05
2000,3,11,0.0009488876
2001,1,1,1.35453E-05
2001,3,11,0.0009649097
2002,1,1,1.221598E-05
2002,3,11,0.0009216722
2003,1,1,8.488647E-06
2003,3,11,0.0008974032
2004,1,1,7.519018E-06
2004,3,11,0.0009814958
2005,1,1,6.692696E-06
2005,3,11,0.001039596
2006,1,1,9.318739E-06
2006,3,11,0.001079979
2007,1,1,1.85247E-05
2007,3,11,0.001157662
2008,1,1,2.194006E-05
2008,3,11,0.001138445
2009,1,1,2.509775E-05
2009,3,11,0.001136138
2010,1,1,2.40133E-05
2010,3,11,0.00119999
2011,1,1,1.870248E-05
2011,3,11,0.001202743
2012,1,1,2.067848E-05
2012,3,11,0.001207426
2013,1,1,1.619673E-05
2013,3,11,0.001150646
2014,1,1,1.45575E-05
2014,3,11,0.001120144
2015,1,1,9.733342E-06
2015,3,11,0.001078005
2016,1,1,6.37426E-06
2016,3,11,0.001005842
2017,1,1,3.765182E-06
2017,3,11,0.0009170545
