EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

timestep,fleet,group,value
1,1,1,2.405905E-07
1,3,11,5.918569E-05
2,1,1,2.445961E-07
2,3,11,5.907308E-05
3,1,1,2.491267E-07
3,3,11,5.886829E-05
4,1,1,2.539861E-07
4,3,11,5.857518E-05
5,1,1,2.574711E-07
5,3,11,5.821013E-05
6,1,1,2.566026E-07
6,3,11,5.781307E-05
7,1,1,2.498569E-07
7,3,11,5.742217E-05
8,1,1,2.391612E-07
8,3,11,5.711189E-05
9,1,1,2.301219E-07
9,3,11,5.694238E-05
10,1,1,2.258577E-07
10,3,11,5.690015E-05
11,1,1,2.26561E-07
11,3,11,5.69582E-05
12,1,1,2.31238E-07
12,3,11,5.709574E-05
13,1,1,2.391316E-07
13,3,11,5.719743E-05
14,1,1,2.478311E-07
14,3,11,5.724695E-05
15,1,1,2.557462E-07
15,3,11,5.724076E-05
16,1,1,2.624098E-07
16,3,11,5.716563E-05
17,1,1,2.678583E-07
17,3,11,5.700929E-05
18,1,1,2.711108E-07
18,3,11,5.677753E-05
19,1,1,2.704381E-07
19,3,11,5.650696E-05
20,1,1,2.65591E-07
20,3,11,5.622819E-05
21,1,1,2.585104E-07
21,3,11,5.596227E-05
22,1,1,2.516824E-07
22,3,11,5.569178E-05
23,1,1,2.450396E-07
23,3,11,5.541209E-05
24,1,1,2.369096E-07
24,3,11,5.515531E-05
25,1,1,2.27778E-07
25,3,11,5.499073E-05
26,1,1,2.206286E-07
26,3,11,5.493802E-05
27,1,1,2.168365E-07
27,3,11,5.493538E-05
28,1,1,2.153339E-07
28,3,11,5.497154E-05
29,1,1,2.152533E-07
29,3,11,5.50555E-05
30,1,1,2.167403E-07
30,3,11,5.50962E-05
31,1,1,2.188301E-07
31,3,11,5.506425E-05
32,1,1,2.210186E-07
32,3,11,5.494159E-05
33,1,1,2.221385E-07
33,3,11,5.473659E-05
34,1,1,2.207551E-07
34,3,11,5.448429E-05
35,1,1,2.168854E-07
35,3,11,5.420485E-05
36,1,1,2.113283E-07
36,3,11,5.390737E-05
37,1,1,2.048276E-07
37,3,11,5.359613E-05
38,1,1,1.975839E-07
38,3,11,5.327667E-05
39,1,1,1.899197E-07
39,3,11,5.295995E-05
40,1,1,1.827261E-07
40,3,11,5.264101E-05
41,1,1,1.761342E-07
41,3,11,5.231597E-05
42,1,1,1.702874E-07
42,3,11,5.198586E-05
43,1,1,1.643103E-07
43,3,11,5.164926E-05
44,1,1,1.577197E-07
44,3,11,5.134873E-05
45,1,1,1.524041E-07
45,3,11,5.10621E-05
46,1,1,1.485173E-07
46,3,11,5.077349E-05
47,1,1,1.449798E-07
47,3,11,5.048433E-05
48,1,1,1.414266E-07
48,3,11,5.022471E-05
49,1,1,1.3885E-07
49,3,11,4.995947E-05
50,1,1,1.365708E-07
50,3,11,4.967678E-05
51,1,1,1.335707E-07
51,3,11,4.939864E-05
52,1,1,1.295972E-07
52,3,11,4.914546E-05
53,1,1,1.25152E-07
53,3,11,4.897275E-05
54,1,1,1.217718E-07
54,3,11,4.893679E-05
55,1,1,1.204047E-07
55,3,11,4.906758E-05
56,1,1,1.209419E-07
56,3,11,4.937073E-05
57,1,1,1.22678E-07
57,3,11,4.983152E-05
58,1,1,1.249771E-07
58,3,11,5.043848E-05
59,1,1,1.270772E-07
59,3,11,5.119243E-05
60,1,1,1.277241E-07
60,3,11,5.203868E-05
61,1,1,1.264703E-07
61,3,11,5.288637E-05
62,1,1,1.232943E-07
62,3,11,5.370799E-05
63,1,1,1.183259E-07
63,3,11,5.447557E-05
64,1,1,1.121312E-07
64,3,11,5.516479E-05
65,1,1,1.056038E-07
65,3,11,5.580149E-05
66,1,1,9.905415E-08
66,3,11,5.642018E-05
67,1,1,9.265123E-08
67,3,11,5.698456E-05
68,1,1,8.674269E-08
68,3,11,5.749829E-05
69,1,1,8.148184E-08
69,3,11,5.798104E-05
70,1,1,7.716394E-08
70,3,11,5.843314E-05
71,1,1,7.36454E-08
71,3,11,5.887846E-05
72,1,1,7.087631E-08
72,3,11,5.926995E-05
73,1,1,6.879605E-08
73,3,11,5.961535E-05
74,1,1,6.733938E-08
74,3,11,5.989654E-05
75,1,1,6.672716E-08
75,3,11,6.009781E-05
76,1,1,6.716231E-08
76,3,11,6.02383E-05
77,1,1,6.880837E-08
77,3,11,6.03145E-05
78,1,1,7.17714E-08
78,3,11,6.032156E-05
79,1,1,7.617756E-08
79,3,11,6.025583E-05
80,1,1,8.20989E-08
80,3,11,6.01293E-05
81,1,1,8.92475E-08
81,3,11,5.998573E-05
82,1,1,9.789857E-08
82,3,11,5.985584E-05
83,1,1,1.088422E-07
83,3,11,5.972644E-05
84,1,1,1.223979E-07
84,3,11,5.959026E-05
85,1,1,1.387149E-07
85,3,11,5.944744E-05
86,1,1,1.581389E-07
86,3,11,5.928974E-05
87,1,1,1.805204E-07
87,3,11,5.911163E-05
88,1,1,2.053565E-07
88,3,11,5.89173E-05
89,1,1,2.32511E-07
89,3,11,5.870432E-05
90,1,1,2.595988E-07
90,3,11,5.848009E-05
91,1,1,2.831373E-07
91,3,11,5.829388E-05
92,1,1,3.048831E-07
92,3,11,5.819785E-05
93,1,1,3.290135E-07
93,3,11,5.82256E-05
94,1,1,3.586021E-07
94,3,11,5.837063E-05
95,1,1,3.937627E-07
95,3,11,5.860423E-05
96,1,1,4.322804E-07
96,3,11,5.892395E-05
97,1,1,4.722314E-07
97,3,11,5.932965E-05
98,1,1,5.12418E-07
98,3,11,5.979077E-05
99,1,1,5.501254E-07
99,3,11,6.03003E-05
100,1,1,5.832574E-07
100,3,11,6.089219E-05
101,1,1,6.144518E-07
101,3,11,6.153024E-05
102,1,1,6.462706E-07
102,3,11,6.207947E-05
103,1,1,6.759958E-07
103,3,11,6.250279E-05
104,1,1,7.024128E-07
104,3,11,6.278615E-05
105,1,1,7.219409E-07
105,3,11,6.294202E-05
106,1,1,7.301882E-07
106,3,11,6.301718E-05
107,1,1,7.268482E-07
107,3,11,6.304171E-05
108,1,1,7.114617E-07
108,3,11,6.30559E-05
109,1,1,6.877499E-07
109,3,11,6.311957E-05
110,1,1,6.65008E-07
110,3,11,6.327235E-05
111,1,1,6.492251E-07
111,3,11,6.352704E-05
112,1,1,6.461989E-07
112,3,11,6.388123E-05
113,1,1,6.604286E-07
113,3,11,6.421204E-05
114,1,1,6.865676E-07
114,3,11,6.448817E-05
115,1,1,7.180977E-07
115,3,11,6.469696E-05
116,1,1,7.471728E-07
116,3,11,6.485685E-05
117,1,1,7.695539E-07
117,3,11,6.499871E-05
118,1,1,7.892679E-07
118,3,11,6.512701E-05
119,1,1,8.104922E-07
119,3,11,6.521699E-05
120,1,1,8.319972E-07
120,3,11,6.52637E-05
121,1,1,8.506977E-07
121,3,11,6.526934E-05
122,1,1,8.644348E-07
122,3,11,6.524391E-05
123,1,1,8.756411E-07
123,3,11,6.518737E-05
124,1,1,8.876241E-07
124,3,11,6.508776E-05
125,1,1,8.974951E-07
125,3,11,6.494037E-05
126,1,1,8.996425E-07
126,3,11,6.475855E-05
127,1,1,8.964377E-07
127,3,11,6.455102E-05
128,1,1,8.960399E-07
128,3,11,6.430509E-05
129,1,1,9.006576E-07
129,3,11,6.400888E-05
130,1,1,8.875645E-07
130,3,11,6.367357E-05
131,1,1,8.357412E-07
131,3,11,6.34117E-05
132,1,1,7.866478E-07
132,3,11,6.330889E-05
133,1,1,7.588303E-07
133,3,11,6.335119E-05
134,1,1,7.532795E-07
134,3,11,6.353953E-05
135,1,1,7.67832E-07
135,3,11,6.383182E-05
136,1,1,7.945293E-07
136,3,11,6.41943E-05
137,1,1,8.246142E-07
137,3,11,6.462236E-05
138,1,1,8.536133E-07
138,3,11,6.510417E-05
139,1,1,8.779309E-07
139,3,11,6.56317E-05
140,1,1,8.957591E-07
140,3,11,6.622845E-05
141,1,1,9.084188E-07
141,3,11,6.689141E-05
142,1,1,9.158824E-07
142,3,11,6.766009E-05
143,1,1,9.213247E-07
143,3,11,6.856204E-05
144,1,1,9.27915E-07
144,3,11,6.958517E-05
145,1,1,9.379467E-07
145,3,11,7.069532E-05
146,1,1,9.540453E-07
146,3,11,7.172846E-05
147,1,1,9.716989E-07
147,3,11,7.260545E-05
148,1,1,9.849158E-07
148,3,11,7.333721E-05
149,1,1,9.916758E-07
149,3,11,7.394305E-05
150,1,1,9.925664E-07
150,3,11,7.443042E-05
151,1,1,9.88823E-07
151,3,11,7.480226E-05
152,1,1,9.807123E-07
152,3,11,7.507062E-05
153,1,1,9.698563E-07
153,3,11,7.525321E-05
154,1,1,9.594238E-07
154,3,11,7.535466E-05
155,1,1,9.432201E-07
155,3,11,7.538866E-05
156,1,1,9.151312E-07
156,3,11,7.542317E-05
157,1,1,8.823166E-07
157,3,11,7.549402E-05
158,1,1,8.508692E-07
158,3,11,7.565122E-05
159,1,1,8.284576E-07
159,3,11,7.593178E-05
160,1,1,8.211971E-07
160,3,11,7.634321E-05
161,1,1,8.310115E-07
161,3,11,7.687017E-05
162,1,1,8.550225E-07
162,3,11,7.751396E-05
163,1,1,8.936131E-07
163,3,11,7.826112E-05
164,1,1,9.487607E-07
164,3,11,7.895195E-05
165,1,1,1.011046E-06
165,3,11,7.953223E-05
166,1,1,1.072003E-06
166,3,11,7.997637E-05
167,1,1,1.126894E-06
167,3,11,8.028276E-05
168,1,1,1.175733E-06
168,3,11,8.044912E-05
169,1,1,1.211096E-06
169,3,11,8.04899E-05
170,1,1,1.221293E-06
170,3,11,8.044837E-05
171,1,1,1.205282E-06
171,3,11,8.036262E-05
172,1,1,1.178823E-06
172,3,11,8.026189E-05
173,1,1,1.15977E-06
