EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Value

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,2.90517E-06,0,0,0,0,0,0,0,0,0,0.000694156,0,0,0,0,0,0,0,0,0,0,0
1986,3.072259E-06,0,0,0,0,0,0,0,0,0,0.0006775942,0,0,0,0,0,0,0,0,0,0,0
1987,2.623527E-06,0,0,0,0,0,0,0,0,0,0.0006573263,0,0,0,0,0,0,0,0,0,0,0
1988,2.030837E-06,0,0,0,0,0,0,0,0,0,0.0006223182,0,0,0,0,0,0,0,0,0,0,0
1989,1.529316E-06,0,0,0,0,0,0,0,0,0,0.0005980293,0,0,0,0,0,0,0,0,0,0,0
1990,1.167441E-06,0,0,0,0,0,0,0,0,0,0.0006775018,0,0,0,0,0,0,0,0,0,0,0
1991,9.872674E-07,0,0,0,0,0,0,0,0,0,0.0007200275,0,0,0,0,0,0,0,0,0,0,0
1992,3.276519E-06,0,0,0,0,0,0,0,0,0,0.0007045667,0,0,0,0,0,0,0,0,0,0,0
1993,7.647603E-06,0,0,0,0,0,0,0,0,0,0.0007412683,0,0,0,0,0,0,0,0,0,0,0
1994,8.661759E-06,0,0,0,0,0,0,0,0,0,0.0007726606,0,0,0,0,0,0,0,0,0,0,0
1995,1.047862E-05,0,0,0,0,0,0,0,0,0,0.0007737465,0,0,0,0,0,0,0,0,0,0,0
1996,1.019993E-05,0,0,0,0,0,0,0,0,0,0.0007892022,0,0,0,0,0,0,0,0,0,0,0
1997,1.159001E-05,0,0,0,0,0,0,0,0,0,0.0008880324,0,0,0,0,0,0,0,0,0,0,0
1998,1.129693E-05,0,0,0,0,0,0,0,0,0,0.0009352579,0,0,0,0,0,0,0,0,0,0,0
1999,1.376688E-05,0,0,0,0,0,0,0,0,0,0.0009543787,0,0,0,0,0,0,0,0,0,0,0
2000,1.41173E-05,0,0,0,0,0,0,0,0,0,0.0009488876,0,0,0,0,0,0,0,0,0,0,0
2001,1.35453E-05,0,0,0,0,0,0,0,0,0,0.0009649099,0,0,0,0,0,0,0,0,0,0,0
2002,1.221598E-05,0,0,0,0,0,0,0,0,0,0.0009216722,0,0,0,0,0,0,0,0,0,0,0
2003,8.488646E-06,0,0,0,0,0,0,0,0,0,0.0008974033,0,0,0,0,0,0,0,0,0,0,0
2004,7.519018E-06,0,0,0,0,0,0,0,0,0,0.0009814958,0,0,0,0,0,0,0,0,0,0,0
2005,6.692696E-06,0,0,0,0,0,0,0,0,0,0.001039596,0,0,0,0,0,0,0,0,0,0,0
2006,9.318739E-06,0,0,0,0,0,0,0,0,0,0.001079979,0,0,0,0,0,0,0,0,0,0,0
2007,1.85247E-05,0,0,0,0,0,0,0,0,0,0.001157662,0,0,0,0,0,0,0,0,0,0,0
2008,2.194006E-05,0,0,0,0,0,0,0,0,0,0.001138445,0,0,0,0,0,0,0,0,0,0,0
2009,2.509775E-05,0,0,0,0,0,0,0,0,0,0.001136138,0,0,0,0,0,0,0,0,0,0,0
2010,2.40133E-05,0,0,0,0,0,0,0,0,0,0.00119999,0,0,0,0,0,0,0,0,0,0,0
2011,1.870248E-05,0,0,0,0,0,0,0,0,0,0.001202743,0,0,0,0,0,0,0,0,0,0,0
2012,2.067848E-05,0,0,0,0,0,0,0,0,0,0.001207426,0,0,0,0,0,0,0,0,0,0,0
2013,1.619673E-05,0,0,0,0,0,0,0,0,0,0.001150646,0,0,0,0,0,0,0,0,0,0,0
2014,1.45575E-05,0,0,0,0,0,0,0,0,0,0.001120144,0,0,0,0,0,0,0,0,0,0,0
2015,9.733342E-06,0,0,0,0,0,0,0,0,0,0.001078005,0,0,0,0,0,0,0,0,0,0,0
2016,6.37426E-06,0,0,0,0,0,0,0,0,0,0.001005842,0,0,0,0,0,0,0,0,0,0,0
2017,3.765182E-06,0,0,0,0,0,0,0,0,0,0.0009170545,0,0,0,0,0,0,0,0,0,0,0
