EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Value

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,2.887085E-06,0,0,0,0,0,0,0,0,0,0.0007102283,0,0,0,0,0,0,0,0,0,0,0
2,2.935153E-06,0,0,0,0,0,0,0,0,0,0.0007088769,0,0,0,0,0,0,0,0,0,0,0
3,2.98952E-06,0,0,0,0,0,0,0,0,0,0.0007064195,0,0,0,0,0,0,0,0,0,0,0
4,3.047834E-06,0,0,0,0,0,0,0,0,0,0.0007029022,0,0,0,0,0,0,0,0,0,0,0
5,3.089654E-06,0,0,0,0,0,0,0,0,0,0.0006985216,0,0,0,0,0,0,0,0,0,0,0
6,3.079231E-06,0,0,0,0,0,0,0,0,0,0.0006937569,0,0,0,0,0,0,0,0,0,0,0
7,2.998283E-06,0,0,0,0,0,0,0,0,0,0.000689066,0,0,0,0,0,0,0,0,0,0,0
8,2.869934E-06,0,0,0,0,0,0,0,0,0,0.0006853426,0,0,0,0,0,0,0,0,0,0,0
9,2.761463E-06,0,0,0,0,0,0,0,0,0,0.0006833086,0,0,0,0,0,0,0,0,0,0,0
10,2.710292E-06,0,0,0,0,0,0,0,0,0,0.0006828018,0,0,0,0,0,0,0,0,0,0,0
11,2.718732E-06,0,0,0,0,0,0,0,0,0,0.0006834985,0,0,0,0,0,0,0,0,0,0,0
12,2.774856E-06,0,0,0,0,0,0,0,0,0,0.0006851489,0,0,0,0,0,0,0,0,0,0,0
13,2.869579E-06,0,0,0,0,0,0,0,0,0,0.0006863692,0,0,0,0,0,0,0,0,0,0,0
14,2.973974E-06,0,0,0,0,0,0,0,0,0,0.0006869634,0,0,0,0,0,0,0,0,0,0,0
15,3.068955E-06,0,0,0,0,0,0,0,0,0,0.0006868891,0,0,0,0,0,0,0,0,0,0,0
16,3.148918E-06,0,0,0,0,0,0,0,0,0,0.0006859875,0,0,0,0,0,0,0,0,0,0,0
17,3.214299E-06,0,0,0,0,0,0,0,0,0,0.0006841114,0,0,0,0,0,0,0,0,0,0,0
18,3.25333E-06,0,0,0,0,0,0,0,0,0,0.0006813303,0,0,0,0,0,0,0,0,0,0,0
19,3.245256E-06,0,0,0,0,0,0,0,0,0,0.0006780836,0,0,0,0,0,0,0,0,0,0,0
20,3.187092E-06,0,0,0,0,0,0,0,0,0,0.0006747383,0,0,0,0,0,0,0,0,0,0,0
21,3.102125E-06,0,0,0,0,0,0,0,0,0,0.0006715473,0,0,0,0,0,0,0,0,0,0,0
22,3.020189E-06,0,0,0,0,0,0,0,0,0,0.0006683013,0,0,0,0,0,0,0,0,0,0,0
23,2.940475E-06,0,0,0,0,0,0,0,0,0,0.0006649451,0,0,0,0,0,0,0,0,0,0,0
24,2.842916E-06,0,0,0,0,0,0,0,0,0,0.0006618637,0,0,0,0,0,0,0,0,0,0,0
