EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

year,fleet,group,value
1985,1,1,1.613347E-06
1985,3,11,0.005023672
1986,1,1,1.706138E-06
1986,3,11,0.004903813
1987,1,1,1.456941E-06
1987,3,11,0.004757132
1988,1,1,1.127798E-06
1988,3,11,0.004503775
1989,1,1,8.492851E-07
1989,3,11,0.004327994
1990,1,1,6.483228E-07
1990,3,11,0.004903145
1991,1,1,5.482657E-07
1991,3,11,0.005210906
1992,1,1,1.819572E-06
1992,3,11,0.005099015
1993,1,1,4.246994E-06
1993,3,11,0.005364629
1994,1,1,4.810193E-06
1994,3,11,0.005591818
1995,1,1,5.819164E-06
1995,3,11,0.005599676
1996,1,1,5.664395E-06
1996,3,11,0.005711531
1997,1,1,6.436361E-06
1997,3,11,0.006426774
1998,1,1,6.273597E-06
1998,3,11,0.006768549
1999,1,1,7.645254E-06
1999,3,11,0.006906928
2000,1,1,7.839854E-06
2000,3,11,0.006867188
2001,1,1,7.522205E-06
2001,3,11,0.006983142
2002,1,1,6.783981E-06
2002,3,11,0.006670229
2003,1,1,4.714057E-06
2003,3,11,0.006494591
2004,1,1,4.175587E-06
2004,3,11,0.007103177
2005,1,1,3.7167E-06
2005,3,11,0.007523654
2006,1,1,5.175038E-06
2006,3,11,0.007815907
2007,1,1,1.028744E-05
2007,3,11,0.008378111
2008,1,1,1.218412E-05
2008,3,11,0.008239035
2009,1,1,1.39377E-05
2009,3,11,0.008222339
2010,1,1,1.333547E-05
2010,3,11,0.008684442
2011,1,1,1.038617E-05
2011,3,11,0.008704362
2012,1,1,1.148352E-05
2012,3,11,0.008738256
2013,1,1,8.99464E-06
2013,3,11,0.008327331
2014,1,1,8.084314E-06
2014,3,11,0.008106587
2015,1,1,5.405282E-06
2015,3,11,0.007801625
2016,1,1,3.53986E-06
2016,3,11,0.007279377
2017,1,1,2.090944E-06
2017,3,11,0.00663681
