EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

timestep,fleet,group,value
1,1,1,1.336087E-07
1,3,11,0.0004283324
2,1,1,1.358332E-07
2,3,11,0.0004275174
3,1,1,1.383492E-07
3,3,11,0.0004260354
4,1,1,1.410478E-07
4,3,11,0.0004239141
5,1,1,1.429832E-07
5,3,11,0.0004212722
6,1,1,1.425009E-07
6,3,11,0.0004183987
7,1,1,1.387547E-07
7,3,11,0.0004155696
8,1,1,1.32815E-07
8,3,11,0.0004133241
9,1,1,1.277951E-07
9,3,11,0.0004120973
10,1,1,1.254271E-07
10,3,11,0.0004117918
11,1,1,1.258176E-07
11,3,11,0.0004122119
12,1,1,1.284149E-07
12,3,11,0.0004132072
13,1,1,1.327985E-07
13,3,11,0.0004139432
14,1,1,1.376297E-07
14,3,11,0.0004143016
15,1,1,1.420253E-07
15,3,11,0.0004142567
16,1,1,1.457258E-07
16,3,11,0.000413713
17,1,1,1.487515E-07
17,3,11,0.0004125816
18,1,1,1.505578E-07
18,3,11,0.0004109043
19,1,1,1.501842E-07
19,3,11,0.0004089462
20,1,1,1.474924E-07
20,3,11,0.0004069287
21,1,1,1.435603E-07
21,3,11,0.0004050042
22,1,1,1.397685E-07
22,3,11,0.0004030466
23,1,1,1.360795E-07
23,3,11,0.0004010225
24,1,1,1.315646E-07
24,3,11,0.0003991642
25,1,1,1.264935E-07
25,3,11,0.0003979731
26,1,1,1.225232E-07
26,3,11,0.0003975916
27,1,1,1.204173E-07
27,3,11,0.0003975725
28,1,1,1.195828E-07
28,3,11,0.0003978342
29,1,1,1.195381E-07
29,3,11,0.0003984418
30,1,1,1.203639E-07
30,3,11,0.0003987363
31,1,1,1.215244E-07
31,3,11,0.0003985051
32,1,1,1.227397E-07
32,3,11,0.0003976175
33,1,1,1.233616E-07
33,3,11,0.0003961338
34,1,1,1.225934E-07
34,3,11,0.0003943079
35,1,1,1.204444E-07
35,3,11,0.0003922856
36,1,1,1.173584E-07
36,3,11,0.0003901327
37,1,1,1.137483E-07
37,3,11,0.0003878802
38,1,1,1.097256E-07
38,3,11,0.0003855682
39,1,1,1.054694E-07
39,3,11,0.0003832761
40,1,1,1.014745E-07
40,3,11,0.000380968
41,1,1,9.781379E-08
41,3,11,0.0003786156
42,1,1,9.456684E-08
42,3,11,0.0003762265
43,1,1,9.124754E-08
43,3,11,0.0003737905
44,1,1,8.758753E-08
44,3,11,0.0003716155
45,1,1,8.463561E-08
45,3,11,0.0003695412
46,1,1,8.247708E-08
46,3,11,0.0003674525
47,1,1,8.051262E-08
47,3,11,0.0003653599
48,1,1,7.853941E-08
48,3,11,0.000363481
49,1,1,7.710853E-08
49,3,11,0.0003615614
50,1,1,7.584277E-08
50,3,11,0.0003595155
51,1,1,7.417673E-08
51,3,11,0.0003575026
52,1,1,7.19701E-08
52,3,11,0.0003556703
53,1,1,6.95015E-08
53,3,11,0.0003544204
54,1,1,6.762436E-08
54,3,11,0.0003541602
55,1,1,6.686513E-08
55,3,11,0.0003551067
56,1,1,6.716349E-08
56,3,11,0.0003573006
57,1,1,6.812758E-08
57,3,11,0.0003606354
58,1,1,6.940436E-08
58,3,11,0.000365028
59,1,1,7.057064E-08
59,3,11,0.0003704844
60,1,1,7.092985E-08
60,3,11,0.0003766088
61,1,1,7.023358E-08
61,3,11,0.0003827437
62,1,1,6.846987E-08
62,3,11,0.0003886898
63,1,1,6.571072E-08
63,3,11,0.0003942448
64,1,1,6.227055E-08
64,3,11,0.0003992328
65,1,1,5.864567E-08
65,3,11,0.0004038406
66,1,1,5.50084E-08
66,3,11,0.0004083181
67,1,1,5.145263E-08
67,3,11,0.0004124026
68,1,1,4.81714E-08
68,3,11,0.0004161205
69,1,1,4.524985E-08
69,3,11,0.0004196143
70,1,1,4.285197E-08
70,3,11,0.0004228861
71,1,1,4.0898E-08
71,3,11,0.0004261089
72,1,1,3.936022E-08
72,3,11,0.0004289422
73,1,1,3.820497E-08
73,3,11,0.0004314419
74,1,1,3.739603E-08
74,3,11,0.0004334769
75,1,1,3.705604E-08
75,3,11,0.0004349336
76,1,1,3.72977E-08
76,3,11,0.0004359503
77,1,1,3.821181E-08
77,3,11,0.0004365017
78,1,1,3.985729E-08
78,3,11,0.0004365528
